,time,status
0,2021-09-11 22:16:29.906067,t
1,2021-09-11 22:16:30.368106,y
2,2021-09-11 22:16:31.037080,u
3,2021-09-11 22:16:31.677364,t
4,2021-09-11 22:16:32.046128,y
5,2021-09-11 22:16:32.551515,u
6,2021-09-11 22:16:33.368032,t
7,2021-09-11 22:16:33.934132,y
8,2021-09-11 22:16:34.462028,u
9,2021-09-11 22:16:35.143054,t
10,2021-09-11 22:16:35.649047,y
11,2021-09-11 22:16:36.183941,u
12,2021-09-11 22:16:36.893411,t
13,2021-09-11 22:16:37.416633,y
14,2021-09-11 22:16:38.051487,u
15,2021-09-11 22:16:38.682010,t
16,2021-09-11 22:16:39.144932,y
17,2021-09-11 22:16:39.653463,u
18,2021-09-11 22:16:40.181551,t
19,2021-09-11 22:16:40.614316,y
20,2021-09-11 22:16:41.144091,u
21,2021-09-11 22:16:41.723521,t
22,2021-09-11 22:16:42.107958,y
23,2021-09-11 22:16:42.699829,u
24,2021-09-11 22:16:43.213864,t
25,2021-09-11 22:16:43.613506,y
26,2021-09-11 22:16:44.178881,u
27,2021-09-11 22:16:44.859024,t
28,2021-09-11 22:16:45.165884,y
29,2021-09-11 22:16:45.675920,u
30,2021-09-11 22:16:46.410224,t
31,2021-09-11 22:16:46.874915,y
32,2021-09-11 22:16:47.438562,u
33,2021-09-11 22:16:48.225934,t
34,2021-09-11 22:16:48.649829,y
35,2021-09-11 22:16:49.135047,u
36,2021-09-11 22:16:50.004392,t
37,2021-09-11 22:16:50.477052,y
38,2021-09-11 22:16:50.997818,u
39,2021-09-11 22:16:51.751107,t
40,2021-09-11 22:16:52.090169,y
41,2021-09-11 22:16:52.504123,u
42,2021-09-11 22:16:53.301731,t
43,2021-09-11 22:16:53.622205,y
44,2021-09-11 22:16:54.201253,u
45,2021-09-11 22:16:54.886220,t
46,2021-09-11 22:16:55.239083,y
47,2021-09-11 22:16:55.753558,u
48,2021-09-11 22:16:56.483077,t
49,2021-09-11 22:16:56.822232,y
50,2021-09-11 22:16:57.316791,u
