,time,status
0,2021-09-11 21:56:33.735686,t
1,2021-09-11 21:56:34.054936,y
2,2021-09-11 21:56:34.331542,u
3,2021-09-11 21:56:34.664042,t
4,2021-09-11 21:56:34.868483,y
5,2021-09-11 21:56:35.128744,u
6,2021-09-11 21:56:35.379009,t
7,2021-09-11 21:56:35.537488,y
8,2021-09-11 21:56:35.698526,u
9,2021-09-11 21:57:16.072069,t
10,2021-09-11 21:57:16.298569,y
11,2021-09-11 21:57:16.523296,u
12,2021-09-11 21:57:16.858866,t
13,2021-09-11 21:57:16.997981,y
14,2021-09-11 21:57:17.107136,u
15,2021-09-11 21:57:17.372464,t
16,2021-09-11 21:57:17.487770,y
17,2021-09-11 21:57:17.561718,u
