,time,status
0,2021-09-12 18:26:06.432896,t
1,2021-09-12 18:26:07.027014,y
2,2021-09-12 18:26:07.496737,u
3,2021-09-12 18:26:08.155131,t
4,2021-09-12 18:26:08.570230,y
5,2021-09-12 18:26:09.293036,u
6,2021-09-12 18:26:10.196502,t
7,2021-09-12 18:26:10.855475,y
8,2021-09-12 18:26:11.531173,u
9,2021-09-12 18:26:12.684084,t
10,2021-09-12 18:26:13.205363,y
11,2021-09-12 18:26:13.826294,u
12,2021-09-12 18:26:14.888404,t
13,2021-09-12 18:26:15.503336,y
14,2021-09-12 18:26:16.151183,u
15,2021-09-12 18:26:16.922939,t
16,2021-09-12 18:26:17.409776,y
17,2021-09-12 18:26:17.998134,u
18,2021-09-12 18:26:18.831681,t
19,2021-09-12 18:26:19.480825,y
20,2021-09-12 18:26:19.944402,u
21,2021-09-12 18:26:20.758150,t
22,2021-09-12 18:26:21.269447,y
23,2021-09-12 18:26:21.736772,u
24,2021-09-12 18:26:22.605959,t
25,2021-09-12 18:26:23.134329,y
26,2021-09-12 18:26:23.684401,u
27,2021-09-12 18:26:24.542074,t
28,2021-09-12 18:26:24.971724,y
29,2021-09-12 18:26:25.521496,u
30,2021-09-12 18:26:26.414137,t
31,2021-09-12 18:26:26.783584,y
32,2021-09-12 18:26:27.413030,u
33,2021-09-12 18:26:28.401259,t
34,2021-09-12 18:26:28.789145,y
35,2021-09-12 18:26:29.334149,u
36,2021-09-12 18:26:30.247617,t
37,2021-09-12 18:26:30.731581,y
38,2021-09-12 18:26:31.295220,u
39,2021-09-12 18:26:32.198359,t
40,2021-09-12 18:26:32.733285,y
41,2021-09-12 18:26:33.295319,u
42,2021-09-12 18:26:34.295210,t
43,2021-09-12 18:26:34.793398,y
44,2021-09-12 18:26:35.490491,u
45,2021-09-12 18:26:36.511875,t
46,2021-09-12 18:26:37.015097,y
47,2021-09-12 18:26:37.614864,u
48,2021-09-12 18:26:38.772662,t
49,2021-09-12 18:26:39.300859,y
50,2021-09-12 18:26:39.790295,u
51,2021-09-12 18:26:40.718669,t
52,2021-09-12 18:26:41.706437,y
53,2021-09-12 18:26:42.521065,u
