,time,status
0,2021-09-12 18:40:21.740543,t
1,2021-09-12 18:40:24.289865,y
2,2021-09-12 18:40:24.783990,u
3,2021-09-12 18:40:25.676885,t
4,2021-09-12 18:40:26.277735,y
5,2021-09-12 18:40:26.810626,u
6,2021-09-12 18:40:27.858826,t
7,2021-09-12 18:40:28.667062,y
8,2021-09-12 18:40:29.267232,u
9,2021-09-12 18:40:30.399331,t
10,2021-09-12 18:40:31.212831,y
11,2021-09-12 18:40:31.736551,u
12,2021-09-12 18:40:32.811066,t
13,2021-09-12 18:40:33.434342,y
14,2021-09-12 18:40:34.044671,u
15,2021-09-12 18:40:35.230120,t
16,2021-09-12 18:40:35.878812,y
17,2021-09-12 18:40:36.438253,u
18,2021-09-12 18:40:37.607642,t
19,2021-09-12 18:40:38.167164,y
20,2021-09-12 18:40:38.858605,u
21,2021-09-12 18:40:39.852387,t
22,2021-09-12 18:40:40.485986,y
23,2021-09-12 18:40:40.979936,u
24,2021-09-12 18:40:42.134051,t
25,2021-09-12 18:40:42.690395,y
26,2021-09-12 18:40:43.282542,u
27,2021-09-12 18:40:44.274064,t
28,2021-09-12 18:40:44.987359,y
29,2021-09-12 18:40:45.696103,u
30,2021-09-12 18:40:46.794320,t
31,2021-09-12 18:40:47.408178,y
32,2021-09-12 18:40:48.017733,u
33,2021-09-12 18:40:49.040096,t
34,2021-09-12 18:40:49.593983,y
35,2021-09-12 18:40:50.249042,u
36,2021-09-12 18:40:51.301268,t
37,2021-09-12 18:40:51.940143,y
38,2021-09-12 18:40:52.479719,u
39,2021-09-12 18:40:53.552508,t
40,2021-09-12 18:40:54.181356,y
41,2021-09-12 18:40:54.841040,u
42,2021-09-12 18:40:55.774748,t
43,2021-09-12 18:40:56.407302,y
44,2021-09-12 18:40:57.045796,u
45,2021-09-12 18:40:58.088917,t
46,2021-09-12 18:40:58.653212,y
47,2021-09-12 18:40:59.233058,u
48,2021-09-12 18:41:00.294831,t
49,2021-09-12 18:41:00.829573,y
50,2021-09-12 18:41:01.373098,u
51,2021-09-12 18:41:02.748236,t
52,2021-09-12 18:41:03.304758,y
53,2021-09-12 18:41:03.929351,u
