,time,status
0,2021-09-12 18:51:50.516492,t
1,2021-09-12 18:51:52.037502,y
2,2021-09-12 18:51:52.482248,u
3,2021-09-12 18:51:53.066073,t
4,2021-09-12 18:51:53.590651,y
5,2021-09-12 18:51:54.133927,u
6,2021-09-12 18:51:55.022828,t
7,2021-09-12 18:51:55.407040,y
8,2021-09-12 18:51:55.896210,u
9,2021-09-12 18:51:56.421328,t
10,2021-09-12 18:51:56.920374,y
11,2021-09-12 18:51:57.474964,u
12,2021-09-12 18:51:58.128624,t
13,2021-09-12 18:51:58.757534,y
14,2021-09-12 18:51:59.376224,u
15,2021-09-12 18:52:00.384572,t
16,2021-09-12 18:52:01.037508,y
17,2021-09-12 18:52:01.566326,u
18,2021-09-12 18:52:02.805543,t
19,2021-09-12 18:52:03.354670,y
20,2021-09-12 18:52:03.818928,u
21,2021-09-12 18:52:04.837931,t
22,2021-09-12 18:52:05.315453,y
23,2021-09-12 18:52:05.760892,u
24,2021-09-12 18:52:06.674691,t
25,2021-09-12 18:52:07.175391,y
26,2021-09-12 18:52:07.712152,u
27,2021-09-12 18:52:08.870985,t
28,2021-09-12 18:52:09.280223,y
29,2021-09-12 18:52:09.794615,u
30,2021-09-12 18:52:10.921446,t
31,2021-09-12 18:52:11.607372,y
32,2021-09-12 18:52:12.299996,u
33,2021-09-12 18:52:13.160284,t
34,2021-09-12 18:52:13.809300,y
35,2021-09-12 18:52:14.960815,u
36,2021-09-12 18:52:15.839390,t
37,2021-09-12 18:52:16.447701,y
38,2021-09-12 18:52:17.070022,u
39,2021-09-12 18:52:18.086365,t
40,2021-09-12 18:52:18.659559,y
41,2021-09-12 18:52:19.333495,u
42,2021-09-12 18:52:20.282380,t
43,2021-09-12 18:52:21.427413,y
44,2021-09-12 18:52:21.896747,u
45,2021-09-12 18:52:22.942668,t
46,2021-09-12 18:52:23.985011,y
47,2021-09-12 18:52:24.509767,u
48,2021-09-12 18:52:25.582983,t
49,2021-09-12 18:52:26.256391,y
50,2021-09-12 18:52:27.110229,u
51,2021-09-12 18:52:28.387504,t
52,2021-09-12 18:52:28.912613,y
53,2021-09-12 18:52:29.507022,u
