,time,status
0,2021-09-12 18:18:21.486897,t
1,2021-09-12 18:18:22.150477,y
2,2021-09-12 18:18:22.887718,u
3,2021-09-12 18:18:23.871324,t
4,2021-09-12 18:18:24.566516,y
5,2021-09-12 18:18:25.433357,u
6,2021-09-12 18:18:26.461933,t
7,2021-09-12 18:18:27.080127,y
8,2021-09-12 18:18:27.865624,u
9,2021-09-12 18:18:28.878723,t
10,2021-09-12 18:18:29.426270,y
11,2021-09-12 18:18:30.001588,u
12,2021-09-12 18:18:31.005335,t
13,2021-09-12 18:18:31.589454,y
14,2021-09-12 18:18:32.205136,u
15,2021-09-12 18:18:33.410635,t
16,2021-09-12 18:18:34.308797,y
17,2021-09-12 18:18:35.092062,u
18,2021-09-12 18:18:36.366906,t
19,2021-09-12 18:18:36.826110,y
20,2021-09-12 18:18:37.598179,u
21,2021-09-12 18:18:38.596340,t
22,2021-09-12 18:18:39.245104,y
23,2021-09-12 18:18:40.408760,u
24,2021-09-12 18:18:41.541160,t
25,2021-09-12 18:18:42.319069,y
26,2021-09-12 18:18:43.507315,u
27,2021-09-12 18:18:44.716361,t
28,2021-09-12 18:18:45.129486,y
29,2021-09-12 18:18:46.202233,u
30,2021-09-12 18:18:47.221044,t
31,2021-09-12 18:18:47.785173,y
32,2021-09-12 18:18:49.304889,u
33,2021-09-12 18:18:50.370782,t
34,2021-09-12 18:18:50.812059,y
35,2021-09-12 18:18:51.664230,u
36,2021-09-12 18:18:52.658017,t
37,2021-09-12 18:18:53.106046,y
38,2021-09-12 18:18:54.188830,u
39,2021-09-12 18:18:55.027752,t
40,2021-09-12 18:18:55.546644,y
41,2021-09-12 18:18:56.596297,u
42,2021-09-12 18:18:57.413303,t
43,2021-09-12 18:18:57.827318,y
44,2021-09-12 18:18:58.870898,u
45,2021-09-12 18:18:59.888689,t
46,2021-09-12 18:19:00.428187,y
47,2021-09-12 18:19:01.284166,u
48,2021-09-12 18:19:02.249676,t
49,2021-09-12 18:19:02.640072,y
50,2021-09-12 18:19:03.688637,u
51,2021-09-12 18:19:04.570406,t
52,2021-09-12 18:19:05.449123,y
53,2021-09-12 18:19:06.462524,u
