,time,status
0,2021-09-12 18:34:50.578921,t
1,2021-09-12 18:34:51.053200,y
2,2021-09-12 18:34:51.562891,u
3,2021-09-12 18:34:52.192526,t
4,2021-09-12 18:34:52.605623,y
5,2021-09-12 18:34:53.140352,u
6,2021-09-12 18:34:53.809040,t
7,2021-09-12 18:34:54.297702,y
8,2021-09-12 18:34:54.869196,u
9,2021-09-12 18:34:55.571488,t
10,2021-09-12 18:34:56.060009,y
11,2021-09-12 18:34:56.669792,u
12,2021-09-12 18:34:57.418213,t
13,2021-09-12 18:34:57.902893,y
14,2021-09-12 18:34:58.430811,u
15,2021-09-12 18:34:59.011049,t
16,2021-09-12 18:34:59.429779,y
17,2021-09-12 18:35:00.078805,u
18,2021-09-12 18:35:00.729895,t
19,2021-09-12 18:35:01.201903,y
20,2021-09-12 18:35:01.810869,u
21,2021-09-12 18:35:02.504715,t
22,2021-09-12 18:35:02.934140,y
23,2021-09-12 18:35:03.542974,u
24,2021-09-12 18:35:04.231729,t
25,2021-09-12 18:35:04.636344,y
26,2021-09-12 18:35:05.181954,u
27,2021-09-12 18:35:05.755068,t
28,2021-09-12 18:35:06.181506,y
29,2021-09-12 18:35:06.778929,u
30,2021-09-12 18:35:07.440320,t
31,2021-09-12 18:35:07.944038,y
32,2021-09-12 18:35:08.550603,u
33,2021-09-12 18:35:09.224251,t
34,2021-09-12 18:35:09.709022,y
35,2021-09-12 18:35:10.247554,u
36,2021-09-12 18:35:10.951525,t
37,2021-09-12 18:35:11.523394,y
38,2021-09-12 18:35:12.020518,u
39,2021-09-12 18:35:12.693186,t
40,2021-09-12 18:35:13.167391,y
41,2021-09-12 18:35:13.705847,u
42,2021-09-12 18:35:14.380698,t
43,2021-09-12 18:35:14.884915,y
44,2021-09-12 18:35:15.423796,u
45,2021-09-12 18:35:16.113530,t
46,2021-09-12 18:35:16.556969,y
47,2021-09-12 18:35:17.106597,u
48,2021-09-12 18:35:17.829839,t
49,2021-09-12 18:35:18.309328,y
50,2021-09-12 18:35:18.828602,u
