,time,status
0,2021-09-12 18:37:34.949731,t
1,2021-09-12 18:37:35.374479,y
2,2021-09-12 18:37:35.874824,u
3,2021-09-12 18:37:36.557001,t
4,2021-09-12 18:37:36.981065,y
5,2021-09-12 18:37:37.485258,u
6,2021-09-12 18:37:38.284840,t
7,2021-09-12 18:37:38.787811,y
8,2021-09-12 18:37:39.327490,u
9,2021-09-12 18:37:40.196630,t
10,2021-09-12 18:37:40.666974,y
11,2021-09-12 18:37:41.157874,u
12,2021-09-12 18:37:41.890812,t
13,2021-09-12 18:37:42.392180,y
14,2021-09-12 18:37:42.908146,u
15,2021-09-12 18:37:43.675983,t
16,2021-09-12 18:37:44.216023,y
17,2021-09-12 18:37:44.799681,u
18,2021-09-12 18:37:45.702235,t
19,2021-09-12 18:37:46.166045,y
20,2021-09-12 18:37:46.701602,u
21,2021-09-12 18:37:47.558525,t
22,2021-09-12 18:37:48.107338,y
23,2021-09-12 18:37:48.596668,u
24,2021-09-12 18:37:49.570470,t
25,2021-09-12 18:37:50.129218,y
26,2021-09-12 18:37:50.698843,u
27,2021-09-12 18:37:51.538351,t
28,2021-09-12 18:37:52.090476,y
29,2021-09-12 18:37:52.615415,u
30,2021-09-12 18:37:53.478401,t
31,2021-09-12 18:37:54.053450,y
32,2021-09-12 18:37:54.581705,u
33,2021-09-12 18:37:55.471339,t
34,2021-09-12 18:37:56.008244,y
35,2021-09-12 18:37:56.643007,u
36,2021-09-12 18:37:57.503576,t
37,2021-09-12 18:37:58.035778,y
38,2021-09-12 18:37:58.539750,u
39,2021-09-12 18:37:59.458067,t
40,2021-09-12 18:38:00.041480,y
41,2021-09-12 18:38:00.541101,u
42,2021-09-12 18:38:01.319591,t
43,2021-09-12 18:38:01.873615,y
44,2021-09-12 18:38:02.512692,u
45,2021-09-12 18:38:03.348103,t
46,2021-09-12 18:38:03.936082,y
47,2021-09-12 18:38:04.498864,u
48,2021-09-12 18:38:05.277538,t
49,2021-09-12 18:38:05.861999,y
50,2021-09-12 18:38:06.412429,u
51,2021-09-12 18:38:07.154555,t
52,2021-09-12 18:38:07.748139,y
53,2021-09-12 18:38:08.378539,u
