,time,status
0,2021-09-12 18:36:43.851253,t
1,2021-09-12 18:36:44.304521,y
2,2021-09-12 18:36:44.838490,u
3,2021-09-12 18:36:45.477418,t
4,2021-09-12 18:36:45.956514,y
5,2021-09-12 18:36:46.539876,u
6,2021-09-12 18:36:47.165479,t
7,2021-09-12 18:36:47.728862,y
8,2021-09-12 18:36:48.370630,u
9,2021-09-12 18:36:49.101453,t
10,2021-09-12 18:36:49.650041,y
11,2021-09-12 18:36:50.184581,u
12,2021-09-12 18:36:50.844309,t
13,2021-09-12 18:36:51.343129,y
14,2021-09-12 18:36:51.891358,u
15,2021-09-12 18:36:52.745782,t
16,2021-09-12 18:36:53.226536,y
17,2021-09-12 18:36:53.762254,u
18,2021-09-12 18:36:54.611155,t
19,2021-09-12 18:36:55.147123,y
20,2021-09-12 18:36:55.680801,u
21,2021-09-12 18:36:56.414755,t
22,2021-09-12 18:36:56.854898,y
23,2021-09-12 18:36:57.448023,u
24,2021-09-12 18:36:58.297860,t
25,2021-09-12 18:36:58.757787,y
26,2021-09-12 18:36:59.295842,u
27,2021-09-12 18:37:00.228418,t
28,2021-09-12 18:37:00.733033,y
29,2021-09-12 18:37:01.247042,u
30,2021-09-12 18:37:02.174960,t
31,2021-09-12 18:37:02.673896,y
32,2021-09-12 18:37:03.243438,u
33,2021-09-12 18:37:04.131908,t
34,2021-09-12 18:37:04.691781,y
35,2021-09-12 18:37:05.219787,u
36,2021-09-12 18:37:06.046938,t
37,2021-09-12 18:37:06.663618,y
38,2021-09-12 18:37:07.281121,u
39,2021-09-12 18:37:08.184927,t
40,2021-09-12 18:37:08.690582,y
41,2021-09-12 18:37:09.242618,u
42,2021-09-12 18:37:10.203539,t
43,2021-09-12 18:37:10.645806,y
44,2021-09-12 18:37:11.215334,u
45,2021-09-12 18:37:12.119934,t
46,2021-09-12 18:37:12.632619,y
47,2021-09-12 18:37:13.116354,u
48,2021-09-12 18:37:13.982534,t
49,2021-09-12 18:37:14.439042,y
50,2021-09-12 18:37:14.974897,u
51,2021-09-12 18:37:15.836656,t
52,2021-09-12 18:37:16.343094,y
53,2021-09-12 18:37:16.872101,u
