,time,status
0,2021-09-12 18:35:44.129158,t
1,2021-09-12 18:35:44.602126,y
2,2021-09-12 18:35:45.111354,u
3,2021-09-12 18:35:45.740596,t
4,2021-09-12 18:35:46.279624,y
5,2021-09-12 18:35:46.824919,u
6,2021-09-12 18:35:47.483045,t
7,2021-09-12 18:35:48.068725,y
8,2021-09-12 18:35:48.721804,u
9,2021-09-12 18:35:49.568309,t
10,2021-09-12 18:35:50.253979,y
11,2021-09-12 18:35:51.106737,u
12,2021-09-12 18:35:51.801144,t
13,2021-09-12 18:35:52.264208,y
14,2021-09-12 18:35:52.834003,u
15,2021-09-12 18:35:53.512717,t
16,2021-09-12 18:35:54.001314,y
17,2021-09-12 18:35:54.611548,u
18,2021-09-12 18:35:55.334137,t
19,2021-09-12 18:35:55.959856,y
20,2021-09-12 18:35:56.533582,u
21,2021-09-12 18:35:57.291530,t
22,2021-09-12 18:35:57.877264,y
23,2021-09-12 18:35:58.463783,u
24,2021-09-12 18:35:59.234271,t
25,2021-09-12 18:35:59.818253,y
26,2021-09-12 18:36:00.386053,u
27,2021-09-12 18:36:01.180111,t
28,2021-09-12 18:36:01.778758,y
29,2021-09-12 18:36:02.317182,u
30,2021-09-12 18:36:03.091589,t
31,2021-09-12 18:36:03.625859,y
32,2021-09-12 18:36:04.207023,u
33,2021-09-12 18:36:05.023109,t
34,2021-09-12 18:36:05.545874,y
35,2021-09-12 18:36:06.036819,u
36,2021-09-12 18:36:06.839696,t
37,2021-09-12 18:36:07.328652,y
38,2021-09-12 18:36:07.847196,u
39,2021-09-12 18:36:08.588743,t
40,2021-09-12 18:36:09.134028,y
41,2021-09-12 18:36:09.655345,u
42,2021-09-12 18:36:10.458834,t
43,2021-09-12 18:36:11.033560,y
44,2021-09-12 18:36:11.532343,u
45,2021-09-12 18:36:12.375764,t
46,2021-09-12 18:36:13.148904,y
47,2021-09-12 18:36:13.728016,u
48,2021-09-12 18:36:14.452043,t
49,2021-09-12 18:36:14.933770,y
50,2021-09-12 18:36:15.482857,u
51,2021-09-12 18:36:16.223947,t
52,2021-09-12 18:36:16.788473,y
53,2021-09-12 18:36:17.343891,u
