,time,status
1,2021-09-12 18:46:55.404518,t
2,2021-09-12 18:46:56.023590,y
3,2021-09-12 18:46:56.724078,u
4,2021-09-12 18:46:57.232673,t
5,2021-09-12 18:46:57.580957,y
6,2021-09-12 18:46:58.000555,u
7,2021-09-12 18:46:58.459913,t
8,2021-09-12 18:46:58.729846,y
9,2021-09-12 18:46:59.189205,u
10,2021-09-12 18:46:59.681322,t
11,2021-09-12 18:47:00.142973,y
12,2021-09-12 18:47:00.617353,u
13,2021-09-12 18:47:01.315952,t
14,2021-09-12 18:47:01.854899,y
15,2021-09-12 18:47:02.853312,u
16,2021-09-12 18:47:03.602330,t
17,2021-09-12 18:47:04.011585,y
18,2021-09-12 18:47:04.540890,u
19,2021-09-12 18:47:05.325503,t
20,2021-09-12 18:47:05.899725,y
21,2021-09-12 18:47:06.423684,u
22,2021-09-12 18:47:07.345528,t
23,2021-09-12 18:47:07.828895,y
24,2021-09-12 18:47:08.320025,u
25,2021-09-12 18:47:09.153659,t
26,2021-09-12 18:47:09.627149,y
27,2021-09-12 18:47:10.225568,u
28,2021-09-12 18:47:11.046346,t
29,2021-09-12 18:47:11.559909,y
30,2021-09-12 18:47:12.164007,u
31,2021-09-12 18:47:12.792708,t
32,2021-09-12 18:47:13.316797,y
33,2021-09-12 18:47:13.875507,u
34,2021-09-12 18:47:14.682581,t
35,2021-09-12 18:47:15.168759,y
36,2021-09-12 18:47:15.694153,u
37,2021-09-12 18:47:16.566409,t
38,2021-09-12 18:47:16.995851,y
39,2021-09-12 18:47:17.470637,u
40,2021-09-12 18:47:18.251790,t
41,2021-09-12 18:47:18.694299,y
42,2021-09-12 18:47:19.173190,u
43,2021-09-12 18:47:20.040625,t
44,2021-09-12 18:47:20.519990,y
45,2021-09-12 18:47:21.100971,u
46,2021-09-12 18:47:21.944923,t
47,2021-09-12 18:47:22.428756,y
48,2021-09-12 18:47:23.015956,u
49,2021-09-12 18:47:23.919348,t
50,2021-09-12 18:47:24.474550,y
51,2021-09-12 18:47:25.127511,u
52,2021-09-12 18:47:26.008815,t
53,2021-09-12 18:47:26.565045,y
54,2021-09-12 18:47:27.115410,u
55,2021-09-12 18:47:28.122793,t
56,2021-09-12 18:47:28.737654,y
57,2021-09-12 18:47:29.307842,u
