,time,status
0,2021-09-12 18:23:07.407154,t
1,2021-09-12 18:23:07.856266,y
2,2021-09-12 18:23:08.371549,u
3,2021-09-12 18:23:09.230994,t
4,2021-09-12 18:23:09.714265,y
5,2021-09-12 18:23:10.382099,u
6,2021-09-12 18:23:11.349897,t
7,2021-09-12 18:23:11.840260,y
8,2021-09-12 18:23:12.588129,u
9,2021-09-12 18:23:13.472360,t
10,2021-09-12 18:23:13.960912,y
11,2021-09-12 18:23:14.699193,u
12,2021-09-12 18:23:15.592364,t
13,2021-09-12 18:23:16.118984,y
14,2021-09-12 18:23:16.807702,u
15,2021-09-12 18:23:17.773851,t
16,2021-09-12 18:23:18.218309,y
17,2021-09-12 18:23:19.014640,u
18,2021-09-12 18:23:19.945902,t
19,2021-09-12 18:23:20.483761,y
20,2021-09-12 18:23:21.203627,u
21,2021-09-12 18:23:22.226301,t
22,2021-09-12 18:23:22.784175,y
23,2021-09-12 18:23:23.484671,u
24,2021-09-12 18:23:24.507779,t
25,2021-09-12 18:23:24.986562,y
26,2021-09-12 18:23:25.655984,u
27,2021-09-12 18:23:26.618110,t
28,2021-09-12 18:23:27.142454,y
29,2021-09-12 18:23:27.802131,u
30,2021-09-12 18:23:28.745484,t
31,2021-09-12 18:23:29.249160,y
32,2021-09-12 18:23:29.882655,u
33,2021-09-12 18:23:30.762139,t
34,2021-09-12 18:23:31.305009,y
35,2021-09-12 18:23:31.939560,u
36,2021-09-12 18:23:32.884683,t
37,2021-09-12 18:23:33.478635,y
38,2021-09-12 18:23:34.205348,u
39,2021-09-12 18:23:35.168695,t
40,2021-09-12 18:23:35.657917,y
41,2021-09-12 18:23:36.227613,u
42,2021-09-12 18:23:37.025505,t
43,2021-09-12 18:23:37.564475,y
44,2021-09-12 18:23:38.358208,u
45,2021-09-12 18:23:39.342298,t
46,2021-09-12 18:23:39.951187,y
47,2021-09-12 18:23:40.662498,u
48,2021-09-12 18:23:41.643017,t
49,2021-09-12 18:23:42.116454,y
50,2021-09-12 18:23:42.740999,u
51,2021-09-12 18:23:43.679218,t
52,2021-09-12 18:23:44.470159,y
53,2021-09-12 18:23:45.186962,u
