,time,status
0,2021-09-12 18:38:27.949358,t
1,2021-09-12 18:38:28.497566,y
2,2021-09-12 18:38:29.061065,u
3,2021-09-12 18:38:29.845866,t
4,2021-09-12 18:38:30.358835,y
5,2021-09-12 18:38:30.913142,u
6,2021-09-12 18:38:31.603175,t
7,2021-09-12 18:38:32.161311,y
8,2021-09-12 18:38:32.824956,u
9,2021-09-12 18:38:33.614235,t
10,2021-09-12 18:38:34.134396,y
11,2021-09-12 18:38:34.786243,u
12,2021-09-12 18:38:35.569525,t
13,2021-09-12 18:38:36.141223,y
14,2021-09-12 18:38:36.808715,u
15,2021-09-12 18:38:37.715951,t
16,2021-09-12 18:38:38.251259,y
17,2021-09-12 18:38:38.834101,u
18,2021-09-12 18:38:39.626190,t
19,2021-09-12 18:38:40.082027,y
20,2021-09-12 18:38:40.711053,u
21,2021-09-12 18:38:41.445453,t
22,2021-09-12 18:38:41.920390,y
23,2021-09-12 18:38:42.565437,u
24,2021-09-12 18:38:43.333832,t
25,2021-09-12 18:38:43.855148,y
26,2021-09-12 18:38:44.419852,u
27,2021-09-12 18:38:45.303211,t
28,2021-09-12 18:38:45.817052,y
29,2021-09-12 18:38:46.420987,u
30,2021-09-12 18:38:47.165346,t
31,2021-09-12 18:38:47.664320,y
32,2021-09-12 18:38:48.242861,u
33,2021-09-12 18:38:49.116524,t
34,2021-09-12 18:38:49.670748,y
35,2021-09-12 18:38:50.237163,u
36,2021-09-12 18:38:51.019606,t
37,2021-09-12 18:38:51.547027,y
38,2021-09-12 18:38:52.131382,u
39,2021-09-12 18:38:53.014275,t
40,2021-09-12 18:38:53.555765,y
41,2021-09-12 18:38:54.131997,u
42,2021-09-12 18:38:54.970880,t
43,2021-09-12 18:38:55.449929,y
44,2021-09-12 18:38:56.088901,u
45,2021-09-12 18:38:56.903214,t
46,2021-09-12 18:38:57.420706,y
47,2021-09-12 18:38:57.976786,u
48,2021-09-12 18:38:58.823692,t
49,2021-09-12 18:38:59.300034,y
50,2021-09-12 18:38:59.897565,u
51,2021-09-12 18:39:00.789957,t
52,2021-09-12 18:39:01.249549,y
53,2021-09-12 18:39:01.808613,u
54,2021-09-12 18:39:02.597162,t
55,2021-09-12 18:39:03.150816,y
56,2021-09-12 18:39:03.854580,u
