,time,status
0,2021-09-12 18:49:46.841894,t
1,2021-09-12 18:49:47.332964,y
2,2021-09-12 18:49:47.784152,u
3,2021-09-12 18:49:48.378335,t
4,2021-09-12 18:49:48.864335,y
5,2021-09-12 18:49:49.397128,u
6,2021-09-12 18:49:50.170831,t
7,2021-09-12 18:49:50.815303,y
8,2021-09-12 18:49:51.218921,u
9,2021-09-12 18:49:51.767701,t
10,2021-09-12 18:49:52.037004,y
11,2021-09-12 18:49:52.586041,u
12,2021-09-12 18:49:53.225630,t
13,2021-09-12 18:49:53.640128,y
14,2021-09-12 18:49:54.265575,u
15,2021-09-12 18:49:54.824315,t
16,2021-09-12 18:49:55.332441,y
17,2021-09-12 18:49:55.811120,u
18,2021-09-12 18:49:56.611489,t
19,2021-09-12 18:49:57.040618,y
20,2021-09-12 18:49:57.513160,u
21,2021-09-12 18:49:58.178265,t
22,2021-09-12 18:49:58.632587,y
23,2021-09-12 18:49:59.302429,u
24,2021-09-12 18:50:00.011780,t
25,2021-09-12 18:50:00.511430,y
26,2021-09-12 18:50:01.183244,u
27,2021-09-12 18:50:01.987453,t
28,2021-09-12 18:50:02.830286,y
29,2021-09-12 18:50:03.426842,u
30,2021-09-12 18:50:04.199089,t
31,2021-09-12 18:50:04.800054,y
32,2021-09-12 18:50:05.361631,u
33,2021-09-12 18:50:06.144936,t
34,2021-09-12 18:50:06.605647,y
35,2021-09-12 18:50:07.154216,u
36,2021-09-12 18:50:08.030949,t
37,2021-09-12 18:50:08.616268,y
38,2021-09-12 18:50:09.215229,u
39,2021-09-12 18:50:10.104003,t
40,2021-09-12 18:50:10.752663,y
41,2021-09-12 18:50:11.516948,u
42,2021-09-12 18:50:12.480478,t
43,2021-09-12 18:50:13.073955,y
44,2021-09-12 18:50:13.647838,u
45,2021-09-12 18:50:14.447742,t
46,2021-09-12 18:50:14.996608,y
47,2021-09-12 18:50:15.664654,u
48,2021-09-12 18:50:16.457899,t
49,2021-09-12 18:50:17.128863,y
50,2021-09-12 18:50:17.661326,u
51,2021-09-12 18:50:18.629359,t
52,2021-09-12 18:50:19.248454,y
53,2021-09-12 18:50:19.842186,u
