,time,status
0,2021-09-12 18:39:22.697454,t
1,2021-09-12 18:39:23.321494,y
2,2021-09-12 18:39:23.846177,u
3,2021-09-12 18:39:24.479273,t
4,2021-09-12 18:39:24.984870,y
5,2021-09-12 18:39:25.562588,u
6,2021-09-12 18:39:26.421973,t
7,2021-09-12 18:39:26.837152,y
8,2021-09-12 18:39:27.442636,u
9,2021-09-12 18:39:28.283601,t
10,2021-09-12 18:39:28.807164,y
11,2021-09-12 18:39:29.407097,u
12,2021-09-12 18:39:30.294336,t
13,2021-09-12 18:39:30.865645,y
14,2021-09-12 18:39:31.408076,u
15,2021-09-12 18:39:32.197502,t
16,2021-09-12 18:39:32.737440,y
17,2021-09-12 18:39:33.283949,u
18,2021-09-12 18:39:34.019901,t
19,2021-09-12 18:39:34.512034,y
20,2021-09-12 18:39:35.012302,u
21,2021-09-12 18:39:35.840041,t
22,2021-09-12 18:39:36.369761,y
23,2021-09-12 18:39:36.893449,u
24,2021-09-12 18:39:37.684199,t
25,2021-09-12 18:39:38.206702,y
26,2021-09-12 18:39:38.720089,u
27,2021-09-12 18:39:39.529533,t
28,2021-09-12 18:39:40.058589,y
29,2021-09-12 18:39:40.677062,u
30,2021-09-12 18:39:41.591901,t
31,2021-09-12 18:39:42.149614,y
32,2021-09-12 18:39:42.790314,u
33,2021-09-12 18:39:43.861100,t
34,2021-09-12 18:39:44.507448,y
35,2021-09-12 18:39:45.039391,u
36,2021-09-12 18:39:45.837714,t
37,2021-09-12 18:39:46.423865,y
38,2021-09-12 18:39:47.102633,u
39,2021-09-12 18:39:48.173617,t
40,2021-09-12 18:39:48.907109,y
41,2021-09-12 18:39:49.462653,u
42,2021-09-12 18:39:50.305274,t
43,2021-09-12 18:39:50.945297,y
44,2021-09-12 18:39:51.608109,u
45,2021-09-12 18:39:52.592555,t
46,2021-09-12 18:39:53.184111,y
47,2021-09-12 18:39:53.743909,u
48,2021-09-12 18:39:54.718117,t
49,2021-09-12 18:39:55.081521,y
50,2021-09-12 18:39:55.708224,u
51,2021-09-12 18:39:56.534817,t
52,2021-09-12 18:39:57.065787,y
53,2021-09-12 18:39:57.584694,u
