,time,status
0,2021-09-12 18:50:46.634805,t
1,2021-09-12 18:50:47.106747,y
2,2021-09-12 18:50:47.479133,u
3,2021-09-12 18:50:48.003490,t
4,2021-09-12 18:50:48.497360,y
5,2021-09-12 18:50:48.952160,u
6,2021-09-12 18:50:49.548008,t
7,2021-09-12 18:50:50.044627,y
8,2021-09-12 18:50:50.512591,u
9,2021-09-12 18:50:51.117436,t
10,2021-09-12 18:50:51.563954,y
11,2021-09-12 18:50:52.071548,u
12,2021-09-12 18:50:52.785489,t
13,2021-09-12 18:50:53.269184,y
14,2021-09-12 18:50:53.713647,u
15,2021-09-12 18:50:54.426578,t
16,2021-09-12 18:50:54.978970,y
17,2021-09-12 18:50:55.416087,u
18,2021-09-12 18:50:56.100542,t
19,2021-09-12 18:50:56.599152,y
20,2021-09-12 18:50:57.013856,u
21,2021-09-12 18:50:57.757985,t
22,2021-09-12 18:50:58.086514,y
23,2021-09-12 18:50:58.605724,u
24,2021-09-12 18:50:59.232458,t
25,2021-09-12 18:50:59.633870,y
26,2021-09-12 18:51:00.079286,u
27,2021-09-12 18:51:00.812643,t
28,2021-09-12 18:51:01.262000,y
29,2021-09-12 18:51:01.750840,u
30,2021-09-12 18:51:02.564689,t
31,2021-09-12 18:51:03.021480,y
32,2021-09-12 18:51:03.487714,u
33,2021-09-12 18:51:04.158615,t
34,2021-09-12 18:51:04.476481,y
35,2021-09-12 18:51:04.990404,u
36,2021-09-12 18:51:05.739104,t
37,2021-09-12 18:51:06.143674,y
38,2021-09-12 18:51:06.876139,u
39,2021-09-12 18:51:07.597031,t
40,2021-09-12 18:51:07.970541,y
41,2021-09-12 18:51:08.450191,u
42,2021-09-12 18:51:09.036482,t
43,2021-09-12 18:51:09.438810,y
44,2021-09-12 18:51:09.797855,u
45,2021-09-12 18:51:10.372442,t
46,2021-09-12 18:51:10.676553,y
47,2021-09-12 18:51:11.086109,u
48,2021-09-12 18:51:12.082329,t
49,2021-09-12 18:51:12.526383,y
50,2021-09-12 18:51:12.923580,u
51,2021-09-12 18:51:13.474148,t
52,2021-09-12 18:51:13.921651,y
53,2021-09-12 18:51:14.366176,u
