,time,status
0,2021-09-12 20:46:06.389638,t
1,2021-09-12 20:46:06.810554,y
2,2021-09-12 20:46:07.326633,u
3,2021-09-12 20:46:08.197718,t
4,2021-09-12 20:46:08.614227,y
5,2021-09-12 20:46:09.148115,u
6,2021-09-12 20:46:10.246350,t
7,2021-09-12 20:46:10.833639,y
8,2021-09-12 20:46:11.489207,u
9,2021-09-12 20:46:12.536877,t
10,2021-09-12 20:46:13.145701,y
11,2021-09-12 20:46:13.719729,u
12,2021-09-12 20:46:14.663411,t
13,2021-09-12 20:46:15.157308,y
14,2021-09-12 20:46:15.635765,u
15,2021-09-12 20:46:16.462476,t
16,2021-09-12 20:46:16.903397,y
17,2021-09-12 20:46:17.413060,u
18,2021-09-12 20:46:18.301446,t
19,2021-09-12 20:46:18.720571,y
20,2021-09-12 20:46:19.260680,u
21,2021-09-12 20:46:20.179216,t
22,2021-09-12 20:46:20.656727,y
23,2021-09-12 20:46:21.226224,u
24,2021-09-12 20:46:22.164081,t
25,2021-09-12 20:46:22.667850,y
26,2021-09-12 20:46:23.162113,u
27,2021-09-12 20:46:24.091392,t
28,2021-09-12 20:46:24.639366,y
29,2021-09-12 20:46:25.274201,u
30,2021-09-12 20:46:26.176027,t
31,2021-09-12 20:46:26.786361,y
32,2021-09-12 20:46:27.374292,u
33,2021-09-12 20:46:28.173504,t
34,2021-09-12 20:46:28.781584,y
35,2021-09-12 20:46:29.351694,u
36,2021-09-12 20:46:30.203940,t
37,2021-09-12 20:46:30.852072,y
38,2021-09-12 20:46:31.463081,u
39,2021-09-12 20:46:32.417259,t
40,2021-09-12 20:46:33.198533,y
41,2021-09-12 20:46:33.679186,u
42,2021-09-12 20:46:34.630236,t
43,2021-09-12 20:46:35.274563,y
44,2021-09-12 20:46:35.865841,u
45,2021-09-12 20:46:36.766611,t
46,2021-09-12 20:46:37.521012,y
47,2021-09-12 20:46:38.113551,u
48,2021-09-12 20:46:39.181464,t
49,2021-09-12 20:46:39.885679,y
50,2021-09-12 20:46:40.459311,u
51,2021-09-12 20:46:41.458465,t
52,2021-09-12 20:46:42.071161,y
53,2021-09-12 20:46:42.574040,u
