,time,status
0,2021-09-12 20:21:20.177305,t
1,2021-09-12 20:21:20.634971,y
2,2021-09-12 20:21:21.343952,u
3,2021-09-12 20:21:22.298553,t
4,2021-09-12 20:21:22.762235,y
5,2021-09-12 20:21:23.686379,u
6,2021-09-12 20:21:24.753088,t
7,2021-09-12 20:21:25.363167,y
8,2021-09-12 20:21:26.365877,u
9,2021-09-12 20:21:27.524310,t
10,2021-09-12 20:21:28.053104,y
11,2021-09-12 20:21:29.432302,u
12,2021-09-12 20:21:30.615179,t
13,2021-09-12 20:21:31.204621,y
14,2021-09-12 20:21:32.067200,u
15,2021-09-12 20:21:33.268852,t
16,2021-09-12 20:21:33.932974,y
17,2021-09-12 20:21:34.888274,u
18,2021-09-12 20:21:35.944000,t
19,2021-09-12 20:21:36.573003,y
20,2021-09-12 20:21:37.561417,u
21,2021-09-12 20:21:38.700640,t
22,2021-09-12 20:21:39.249109,y
23,2021-09-12 20:21:40.211868,u
24,2021-09-12 20:21:41.180594,t
25,2021-09-12 20:21:41.799033,y
26,2021-09-12 20:21:42.637662,u
27,2021-09-12 20:21:43.643427,t
28,2021-09-12 20:21:44.234555,y
29,2021-09-12 20:21:45.005040,u
30,2021-09-12 20:21:46.089652,t
31,2021-09-12 20:21:46.573081,y
32,2021-09-12 20:21:47.294180,u
33,2021-09-12 20:21:48.287078,t
34,2021-09-12 20:21:48.851604,y
35,2021-09-12 20:21:49.545468,u
36,2021-09-12 20:21:50.658419,t
37,2021-09-12 20:21:51.234662,y
38,2021-09-12 20:21:52.031481,u
39,2021-09-12 20:21:53.014501,t
40,2021-09-12 20:21:53.539030,y
41,2021-09-12 20:21:54.202091,u
42,2021-09-12 20:21:55.155221,t
43,2021-09-12 20:21:55.788671,y
44,2021-09-12 20:21:56.468393,u
45,2021-09-12 20:21:57.581745,t
46,2021-09-12 20:21:58.210674,y
47,2021-09-12 20:21:59.080340,u
48,2021-09-12 20:22:00.303115,t
49,2021-09-12 20:22:00.915549,y
50,2021-09-12 20:22:01.550001,u
51,2021-09-12 20:22:02.754740,t
52,2021-09-12 20:22:03.346518,y
53,2021-09-12 20:22:03.955996,u
