,time,status
0,2021-09-12 20:34:24.961571,t
1,2021-09-12 20:34:25.370954,y
2,2021-09-12 20:34:25.822671,u
3,2021-09-12 20:34:26.407994,t
4,2021-09-12 20:34:26.947819,y
5,2021-09-12 20:34:27.467248,u
6,2021-09-12 20:34:28.124758,t
7,2021-09-12 20:34:28.908711,y
8,2021-09-12 20:34:29.726716,u
9,2021-09-12 20:34:30.420596,t
10,2021-09-12 20:34:31.104444,y
11,2021-09-12 20:34:31.646582,u
12,2021-09-12 20:34:32.312194,t
13,2021-09-12 20:34:32.951684,y
14,2021-09-12 20:34:33.577691,u
15,2021-09-12 20:34:34.225530,t
16,2021-09-12 20:34:34.902563,y
17,2021-09-12 20:34:35.532002,u
18,2021-09-12 20:34:36.254253,t
19,2021-09-12 20:34:36.853396,y
20,2021-09-12 20:34:37.513128,u
21,2021-09-12 20:34:38.305414,t
22,2021-09-12 20:34:38.884400,y
23,2021-09-12 20:34:39.480742,u
24,2021-09-12 20:34:40.241606,t
25,2021-09-12 20:34:40.795847,y
26,2021-09-12 20:34:41.404592,u
27,2021-09-12 20:34:42.333525,t
28,2021-09-12 20:34:42.877120,y
29,2021-09-12 20:34:43.462287,u
30,2021-09-12 20:34:44.495343,t
31,2021-09-12 20:34:45.062732,y
32,2021-09-12 20:34:45.527018,u
33,2021-09-12 20:34:46.416278,t
34,2021-09-12 20:34:46.934638,y
35,2021-09-12 20:34:47.508476,u
36,2021-09-12 20:34:48.521789,t
37,2021-09-12 20:34:49.136701,y
38,2021-09-12 20:34:49.720603,u
39,2021-09-12 20:34:50.651677,t
40,2021-09-12 20:34:51.207152,y
41,2021-09-12 20:34:51.769033,u
42,2021-09-12 20:34:52.807706,t
43,2021-09-12 20:34:53.312118,y
44,2021-09-12 20:34:53.920717,u
45,2021-09-12 20:34:54.929977,t
46,2021-09-12 20:34:55.477378,y
47,2021-09-12 20:34:56.041539,u
48,2021-09-12 20:34:56.980933,t
49,2021-09-12 20:34:57.500249,y
50,2021-09-12 20:34:58.118590,u
51,2021-09-12 20:34:58.928152,t
52,2021-09-12 20:34:59.434673,y
53,2021-09-12 20:34:59.926436,u
54,2021-09-12 20:35:00.821156,t
55,2021-09-12 20:35:01.211841,y
56,2021-09-12 20:35:01.651860,u
57,2021-09-12 20:35:02.380730,t
58,2021-09-12 20:35:02.864393,y
59,2021-09-12 20:35:03.449821,u
60,2021-09-12 20:35:04.276526,t
61,2021-09-12 20:35:04.756112,y
62,2021-09-12 20:35:05.510071,u
