,time,status
0,2021-09-12 20:38:04.576336,t
1,2021-09-12 20:38:06.113399,y
2,2021-09-12 20:38:06.711707,u
3,2021-09-12 20:38:07.533758,t
4,2021-09-12 20:38:08.097528,y
5,2021-09-12 20:38:08.637180,u
6,2021-09-12 20:38:09.609468,t
7,2021-09-12 20:38:10.163909,y
8,2021-09-12 20:38:10.726313,u
9,2021-09-12 20:38:11.502483,t
10,2021-09-12 20:38:12.249906,y
11,2021-09-12 20:38:12.894841,u
12,2021-09-12 20:38:13.756864,t
13,2021-09-12 20:38:14.345727,y
14,2021-09-12 20:38:14.880914,u
15,2021-09-12 20:38:15.767617,t
16,2021-09-12 20:38:16.395050,y
17,2021-09-12 20:38:16.876811,u
18,2021-09-12 20:38:17.766823,t
19,2021-09-12 20:38:18.413394,y
20,2021-09-12 20:38:19.012262,u
21,2021-09-12 20:38:19.935327,t
22,2021-09-12 20:38:20.477542,y
23,2021-09-12 20:38:21.018539,u
24,2021-09-12 20:38:22.084592,t
25,2021-09-12 20:38:22.644742,y
26,2021-09-12 20:38:23.174403,u
27,2021-09-12 20:38:24.147149,t
28,2021-09-12 20:38:24.691834,y
29,2021-09-12 20:38:25.205989,u
30,2021-09-12 20:38:26.020121,t
31,2021-09-12 20:38:26.574112,y
32,2021-09-12 20:38:27.100723,u
33,2021-09-12 20:38:27.935743,t
34,2021-09-12 20:38:28.523954,y
35,2021-09-12 20:38:29.061229,u
36,2021-09-12 20:38:29.895566,t
37,2021-09-12 20:38:30.428029,y
38,2021-09-12 20:38:30.945111,u
39,2021-09-12 20:38:31.808031,t
40,2021-09-12 20:38:32.456918,y
41,2021-09-12 20:38:32.955424,u
42,2021-09-12 20:38:33.809932,t
43,2021-09-12 20:38:34.273567,y
44,2021-09-12 20:38:34.798163,u
45,2021-09-12 20:38:35.617178,t
46,2021-09-12 20:38:36.154993,y
47,2021-09-12 20:38:36.696215,u
48,2021-09-12 20:38:37.633956,t
49,2021-09-12 20:38:38.171097,y
50,2021-09-12 20:38:38.660819,u
51,2021-09-12 20:38:39.545408,t
52,2021-09-12 20:38:40.067303,y
53,2021-09-12 20:38:40.593337,u
