,time,status
0,2021-09-12 20:37:10.775350,t
1,2021-09-12 20:37:11.289068,y
2,2021-09-12 20:37:11.812424,u
3,2021-09-12 20:37:12.535233,t
4,2021-09-12 20:37:13.199349,y
5,2021-09-12 20:37:13.857609,u
6,2021-09-12 20:37:14.815637,t
7,2021-09-12 20:37:15.434581,y
8,2021-09-12 20:37:16.153934,u
9,2021-09-12 20:37:17.146630,t
10,2021-09-12 20:37:17.579163,y
11,2021-09-12 20:37:18.042301,u
12,2021-09-12 20:37:18.748928,t
13,2021-09-12 20:37:19.263010,y
14,2021-09-12 20:37:19.862283,u
15,2021-09-12 20:37:20.775396,t
16,2021-09-12 20:37:21.450548,y
17,2021-09-12 20:37:21.954832,u
18,2021-09-12 20:37:22.826432,t
19,2021-09-12 20:37:23.465905,y
20,2021-09-12 20:37:23.954424,u
21,2021-09-12 20:37:24.833759,t
22,2021-09-12 20:37:25.503599,y
23,2021-09-12 20:37:26.066500,u
24,2021-09-12 20:37:26.949898,t
25,2021-09-12 20:37:27.538838,y
26,2021-09-12 20:37:28.039854,u
27,2021-09-12 20:37:28.990156,t
28,2021-09-12 20:37:29.549317,y
29,2021-09-12 20:37:29.949237,u
30,2021-09-12 20:37:30.933800,t
31,2021-09-12 20:37:31.440591,y
32,2021-09-12 20:37:31.920335,u
33,2021-09-12 20:37:32.833593,t
34,2021-09-12 20:37:33.321435,y
35,2021-09-12 20:37:33.833838,u
36,2021-09-12 20:37:34.660315,t
37,2021-09-12 20:37:35.148323,y
38,2021-09-12 20:37:35.603546,u
39,2021-09-12 20:37:36.417254,t
40,2021-09-12 20:37:37.023148,y
41,2021-09-12 20:37:37.507146,u
42,2021-09-12 20:37:38.417160,t
43,2021-09-12 20:37:38.982391,y
44,2021-09-12 20:37:39.500116,u
45,2021-09-12 20:37:40.408761,t
46,2021-09-12 20:37:40.958231,y
47,2021-09-12 20:37:41.452244,u
48,2021-09-12 20:37:42.356427,t
49,2021-09-12 20:37:42.881105,y
50,2021-09-12 20:37:43.353670,u
51,2021-09-12 20:37:44.243285,t
52,2021-09-12 20:37:44.797012,y
53,2021-09-12 20:37:45.505147,u
