,time,status
0,2021-09-12 20:31:02.123337,t
1,2021-09-12 20:31:02.585473,y
2,2021-09-12 20:31:03.299122,u
3,2021-09-12 20:31:04.232671,t
4,2021-09-12 20:31:04.791993,y
5,2021-09-12 20:31:05.475238,u
6,2021-09-12 20:31:06.530182,t
7,2021-09-12 20:31:07.077824,y
8,2021-09-12 20:31:07.671670,u
9,2021-09-12 20:31:08.741765,t
10,2021-09-12 20:31:09.512211,y
11,2021-09-12 20:31:10.426210,u
12,2021-09-12 20:31:11.302660,t
13,2021-09-12 20:31:11.858699,y
14,2021-09-12 20:31:12.762333,u
15,2021-09-12 20:31:13.544734,t
16,2021-09-12 20:31:14.242764,y
17,2021-09-12 20:31:15.695288,u
18,2021-09-12 20:31:16.413018,t
19,2021-09-12 20:31:16.938104,y
20,2021-09-12 20:31:17.988777,u
21,2021-09-12 20:31:19.318319,t
22,2021-09-12 20:31:19.932848,y
23,2021-09-12 20:31:21.075390,u
24,2021-09-12 20:31:22.494038,t
25,2021-09-12 20:31:23.171480,y
26,2021-09-12 20:31:24.651961,u
27,2021-09-12 20:31:25.934919,t
28,2021-09-12 20:31:26.453773,y
29,2021-09-12 20:31:27.612805,u
30,2021-09-12 20:31:28.699771,t
31,2021-09-12 20:31:29.572461,y
32,2021-09-12 20:31:31.260880,u
33,2021-09-12 20:31:32.291326,t
34,2021-09-12 20:31:32.963856,y
35,2021-09-12 20:31:34.177408,u
36,2021-09-12 20:31:35.101615,t
37,2021-09-12 20:31:35.690055,y
38,2021-09-12 20:31:36.699012,u
39,2021-09-12 20:31:37.465988,t
40,2021-09-12 20:31:38.015430,y
41,2021-09-12 20:31:38.981585,u
42,2021-09-12 20:31:39.628016,t
43,2021-09-12 20:31:40.375868,y
44,2021-09-12 20:31:41.418857,u
45,2021-09-12 20:31:42.142831,t
46,2021-09-12 20:31:42.770943,y
47,2021-09-12 20:31:43.739565,u
48,2021-09-12 20:31:44.587895,t
49,2021-09-12 20:31:45.092084,y
50,2021-09-12 20:31:46.124123,u
51,2021-09-12 20:31:46.912852,t
52,2021-09-12 20:31:47.461698,y
53,2021-09-12 20:31:48.434405,u
