,time,status
0,2021-09-12 20:39:00.412074,t
1,2021-09-12 20:39:00.859532,y
2,2021-09-12 20:39:01.434757,u
3,2021-09-12 20:39:02.287715,t
4,2021-09-12 20:39:02.816116,y
5,2021-09-12 20:39:03.324743,u
6,2021-09-12 20:39:04.229412,t
7,2021-09-12 20:39:05.128940,y
8,2021-09-12 20:39:05.965427,u
9,2021-09-12 20:39:06.892982,t
10,2021-09-12 20:39:07.352143,y
11,2021-09-12 20:39:08.058307,u
12,2021-09-12 20:39:09.045525,t
13,2021-09-12 20:39:09.602993,y
14,2021-09-12 20:39:10.202454,u
15,2021-09-12 20:39:11.101093,t
16,2021-09-12 20:39:11.660697,y
17,2021-09-12 20:39:12.273566,u
18,2021-09-12 20:39:13.206961,t
19,2021-09-12 20:39:13.736885,y
20,2021-09-12 20:39:14.365173,u
21,2021-09-12 20:39:15.424332,t
22,2021-09-12 20:39:16.041229,y
23,2021-09-12 20:39:16.785690,u
24,2021-09-12 20:39:17.638329,t
25,2021-09-12 20:39:18.142929,y
26,2021-09-12 20:39:18.815883,u
27,2021-09-12 20:39:19.626134,t
28,2021-09-12 20:39:20.094846,y
29,2021-09-12 20:39:20.774793,u
30,2021-09-12 20:39:21.715121,t
31,2021-09-12 20:39:22.225858,y
32,2021-09-12 20:39:22.873940,u
33,2021-09-12 20:39:23.808420,t
34,2021-09-12 20:39:24.416278,y
35,2021-09-12 20:39:24.954698,u
36,2021-09-12 20:39:26.003496,t
37,2021-09-12 20:39:26.572226,y
38,2021-09-12 20:39:27.231190,u
39,2021-09-12 20:39:28.091006,t
40,2021-09-12 20:39:28.623309,y
41,2021-09-12 20:39:29.266598,u
42,2021-09-12 20:39:30.229840,t
43,2021-09-12 20:39:30.794376,y
44,2021-09-12 20:39:31.404092,u
45,2021-09-12 20:39:32.326475,t
46,2021-09-12 20:39:32.900422,y
47,2021-09-12 20:39:33.468558,u
48,2021-09-12 20:39:34.381985,t
49,2021-09-12 20:39:34.881009,y
50,2021-09-12 20:39:35.430827,u
51,2021-09-12 20:39:36.248258,t
52,2021-09-12 20:39:36.807864,y
53,2021-09-12 20:39:37.391479,u
