,time,status
0,2021-09-12 20:51:43.739389,t
1,2021-09-12 20:51:44.179239,y
2,2021-09-12 20:51:44.526819,u
3,2021-09-12 20:51:44.955842,t
4,2021-09-12 20:51:45.383192,y
5,2021-09-12 20:51:45.719380,u
6,2021-09-12 20:51:46.143921,t
7,2021-09-12 20:51:46.516724,y
8,2021-09-12 20:51:47.101434,u
9,2021-09-12 20:51:47.623396,t
10,2021-09-12 20:51:48.076145,y
11,2021-09-12 20:51:48.546496,u
12,2021-09-12 20:51:49.130204,t
13,2021-09-12 20:51:49.652677,y
14,2021-09-12 20:51:50.176726,u
15,2021-09-12 20:51:50.845908,t
16,2021-09-12 20:51:51.260113,y
17,2021-09-12 20:51:51.794694,u
18,2021-09-12 20:51:52.647594,t
19,2021-09-12 20:51:52.961646,y
20,2021-09-12 20:51:53.531046,u
21,2021-09-12 20:51:54.090365,t
22,2021-09-12 20:51:54.394702,y
23,2021-09-12 20:51:54.723858,u
24,2021-09-12 20:51:55.292768,t
25,2021-09-12 20:51:55.636879,y
26,2021-09-12 20:51:56.000901,u
27,2021-09-12 20:51:56.729840,t
28,2021-09-12 20:51:57.120928,y
29,2021-09-12 20:51:57.514086,u
30,2021-09-12 20:51:58.176438,t
31,2021-09-12 20:51:58.868627,y
32,2021-09-12 20:51:59.449921,u
33,2021-09-12 20:52:00.153370,t
34,2021-09-12 20:52:00.529139,y
35,2021-09-12 20:52:01.008624,u
36,2021-09-12 20:52:01.733055,t
37,2021-09-12 20:52:02.171940,y
38,2021-09-12 20:52:02.633578,u
39,2021-09-12 20:52:03.369716,t
40,2021-09-12 20:52:03.713641,y
41,2021-09-12 20:52:04.091373,u
42,2021-09-12 20:52:04.742069,t
43,2021-09-12 20:52:05.051207,y
44,2021-09-12 20:52:05.466022,u
45,2021-09-12 20:52:06.008634,t
46,2021-09-12 20:52:06.387790,y
47,2021-09-12 20:52:06.892491,u
48,2021-09-12 20:52:07.720028,t
49,2021-09-12 20:52:08.129650,y
50,2021-09-12 20:52:08.573520,u
51,2021-09-12 20:52:09.267429,t
52,2021-09-12 20:52:09.618998,y
53,2021-09-12 20:52:10.057472,u
