,time,status
0,2021-09-12 20:55:26.365387,t
1,2021-09-12 20:55:26.818949,y
2,2021-09-12 20:55:27.293524,u
3,2021-09-12 20:55:27.931376,t
4,2021-09-12 20:55:28.306232,y
5,2021-09-12 20:55:28.695966,u
6,2021-09-12 20:55:29.339623,t
7,2021-09-12 20:55:29.709115,y
8,2021-09-12 20:55:30.073192,u
9,2021-09-12 20:55:31.165806,t
10,2021-09-12 20:55:31.505658,y
11,2021-09-12 20:55:31.994976,u
12,2021-09-12 20:55:32.844318,t
13,2021-09-12 20:55:33.162066,y
14,2021-09-12 20:55:33.526356,u
15,2021-09-12 20:55:34.429727,t
16,2021-09-12 20:55:34.860115,y
17,2021-09-12 20:55:35.314657,u
18,2021-09-12 20:55:36.332394,t
19,2021-09-12 20:55:36.687661,y
20,2021-09-12 20:55:37.291432,u
21,2021-09-12 20:55:37.956434,t
22,2021-09-12 20:55:38.274322,y
23,2021-09-12 20:55:38.748039,u
24,2021-09-12 20:55:39.684803,t
25,2021-09-12 20:55:40.119429,y
26,2021-09-12 20:55:40.588567,u
27,2021-09-12 20:55:41.412176,t
28,2021-09-12 20:55:41.806585,y
29,2021-09-12 20:55:42.182658,u
30,2021-09-12 20:55:43.029074,t
31,2021-09-12 20:55:43.386473,y
32,2021-09-12 20:55:43.802465,u
33,2021-09-12 20:55:44.592055,t
34,2021-09-12 20:55:45.033649,y
35,2021-09-12 20:55:45.458945,u
36,2021-09-12 20:55:46.277101,t
37,2021-09-12 20:55:46.720580,y
38,2021-09-12 20:55:47.108791,u
39,2021-09-12 20:55:47.857710,t
40,2021-09-12 20:55:48.215060,y
41,2021-09-12 20:55:48.614437,u
42,2021-09-12 20:55:49.376616,t
43,2021-09-12 20:55:49.755842,y
44,2021-09-12 20:55:50.125949,u
45,2021-09-12 20:55:50.918436,t
46,2021-09-12 20:55:51.273259,y
47,2021-09-12 20:55:51.667938,u
48,2021-09-12 20:55:52.407702,t
49,2021-09-12 20:55:52.761271,y
50,2021-09-12 20:55:53.144732,u
51,2021-09-12 20:55:53.878247,t
52,2021-09-12 20:55:54.268859,y
53,2021-09-12 20:55:54.674672,u
