,time,status
0,2021-09-12 20:52:28.881331,t
1,2021-09-12 20:52:29.159745,y
2,2021-09-12 20:52:29.524407,u
3,2021-09-12 20:52:30.037028,t
4,2021-09-12 20:52:30.403879,y
5,2021-09-12 20:52:30.801864,u
6,2021-09-12 20:52:31.336384,t
7,2021-09-12 20:52:31.852051,y
8,2021-09-12 20:52:32.204507,u
9,2021-09-12 20:52:32.925283,t
10,2021-09-12 20:52:33.482193,y
11,2021-09-12 20:52:34.006593,u
12,2021-09-12 20:52:34.979875,t
13,2021-09-12 20:52:35.349128,y
14,2021-09-12 20:52:35.973551,u
15,2021-09-12 20:52:36.531660,t
16,2021-09-12 20:52:36.915775,y
17,2021-09-12 20:52:37.325297,u
18,2021-09-12 20:52:37.859538,t
19,2021-09-12 20:52:38.306230,y
20,2021-09-12 20:52:38.768216,u
21,2021-09-12 20:52:39.457117,t
22,2021-09-12 20:52:39.903686,y
23,2021-09-12 20:52:40.385481,u
24,2021-09-12 20:52:41.153174,t
25,2021-09-12 20:52:41.597512,y
26,2021-09-12 20:52:42.041771,u
27,2021-09-12 20:52:42.840387,t
28,2021-09-12 20:52:43.184362,y
29,2021-09-12 20:52:43.704265,u
30,2021-09-12 20:52:44.439050,t
31,2021-09-12 20:52:44.841643,y
32,2021-09-12 20:52:45.240530,u
33,2021-09-12 20:52:45.781523,t
34,2021-09-12 20:52:46.189434,y
35,2021-09-12 20:52:46.585002,u
36,2021-09-12 20:52:47.084596,t
37,2021-09-12 20:52:47.461840,y
38,2021-09-12 20:52:47.911593,u
39,2021-09-12 20:52:48.663070,t
40,2021-09-12 20:52:49.093759,y
41,2021-09-12 20:52:49.580080,u
42,2021-09-12 20:52:50.237476,t
43,2021-09-12 20:52:50.688699,y
44,2021-09-12 20:52:51.109771,u
45,2021-09-12 20:52:51.813422,t
46,2021-09-12 20:52:52.243454,y
47,2021-09-12 20:52:52.618728,u
48,2021-09-12 20:52:53.390077,t
49,2021-09-12 20:52:53.760545,y
50,2021-09-12 20:52:54.208470,u
51,2021-09-12 20:52:54.902703,t
52,2021-09-12 20:52:55.331978,y
53,2021-09-12 20:52:55.811338,u
