,time,status
0,2021-09-13 14:30:00.133808,t
1,2021-09-13 14:30:00.661736,y
2,2021-09-13 14:30:01.083717,u
3,2021-09-13 14:30:02.083882,t
4,2021-09-13 14:30:02.448488,y
5,2021-09-13 14:30:02.944587,u
6,2021-09-13 14:30:04.025692,t
7,2021-09-13 14:30:04.599598,y
8,2021-09-13 14:30:05.556827,u
9,2021-09-13 14:30:06.212426,t
10,2021-09-13 14:30:06.561713,y
11,2021-09-13 14:30:06.911040,u
12,2021-09-13 14:30:08.096529,t
13,2021-09-13 14:30:08.547715,y
14,2021-09-13 14:30:08.897224,u
15,2021-09-13 14:30:09.894001,t
16,2021-09-13 14:30:10.353067,y
17,2021-09-13 14:30:10.865510,u
18,2021-09-13 14:30:11.715695,t
19,2021-09-13 14:30:12.179792,y
20,2021-09-13 14:30:12.588968,u
21,2021-09-13 14:30:13.644429,t
22,2021-09-13 14:30:14.021754,y
23,2021-09-13 14:30:14.376911,u
24,2021-09-13 14:30:15.246458,t
25,2021-09-13 14:30:15.849839,y
26,2021-09-13 14:30:16.242657,u
27,2021-09-13 14:30:17.291809,t
28,2021-09-13 14:30:17.896455,y
29,2021-09-13 14:30:18.226332,u
30,2021-09-13 14:30:19.285699,t
31,2021-09-13 14:30:19.897558,y
32,2021-09-13 14:30:20.357864,u
33,2021-09-13 14:30:21.381039,t
34,2021-09-13 14:30:21.883741,y
35,2021-09-13 14:30:22.229113,u
36,2021-09-13 14:30:23.309603,t
37,2021-09-13 14:30:23.913590,y
38,2021-09-13 14:30:24.309908,u
39,2021-09-13 14:30:25.285832,t
40,2021-09-13 14:30:25.839784,y
41,2021-09-13 14:30:26.193706,u
42,2021-09-13 14:30:27.231520,t
43,2021-09-13 14:30:27.730858,y
44,2021-09-13 14:30:28.227560,u
45,2021-09-13 14:30:29.260604,t
46,2021-09-13 14:30:29.857521,y
47,2021-09-13 14:30:30.362848,u
48,2021-09-13 14:30:31.377582,t
49,2021-09-13 14:30:31.844580,y
50,2021-09-13 14:30:32.318013,u
51,2021-09-13 14:30:33.464542,t
52,2021-09-13 14:30:34.091724,y
53,2021-09-13 14:30:34.430257,u
