,time,status
0,2021-09-13 14:50:23.002815,t
1,2021-09-13 14:50:23.381952,y
2,2021-09-13 14:50:23.664073,u
3,2021-09-13 14:50:24.366053,t
4,2021-09-13 14:50:24.687034,y
5,2021-09-13 14:50:25.068905,u
6,2021-09-13 14:50:25.786293,t
7,2021-09-13 14:50:26.205768,y
8,2021-09-13 14:50:26.584781,u
9,2021-09-13 14:50:27.809462,t
10,2021-09-13 14:50:28.222960,y
11,2021-09-13 14:50:28.567223,u
12,2021-09-13 14:50:29.606624,t
13,2021-09-13 14:50:30.065733,y
14,2021-09-13 14:50:30.571049,u
15,2021-09-13 14:50:31.381084,t
16,2021-09-13 14:50:31.946689,y
17,2021-09-13 14:50:32.366519,u
18,2021-09-13 14:50:33.465945,t
19,2021-09-13 14:50:34.013186,y
20,2021-09-13 14:50:34.340786,u
21,2021-09-13 14:50:35.781452,t
22,2021-09-13 14:50:36.190858,y
23,2021-09-13 14:50:36.504037,u
24,2021-09-13 14:50:37.554671,t
25,2021-09-13 14:50:38.068899,y
26,2021-09-13 14:50:38.355560,u
27,2021-09-13 14:50:39.436813,t
28,2021-09-13 14:50:39.972973,y
29,2021-09-13 14:50:40.296845,u
30,2021-09-13 14:50:41.145712,t
31,2021-09-13 14:50:41.672743,y
32,2021-09-13 14:50:42.029407,u
33,2021-09-13 14:50:43.032334,t
34,2021-09-13 14:50:43.693477,y
35,2021-09-13 14:50:44.057924,u
36,2021-09-13 14:50:45.128730,t
37,2021-09-13 14:50:45.512491,y
38,2021-09-13 14:50:45.812230,u
39,2021-09-13 14:50:46.743738,t
40,2021-09-13 14:50:47.235876,y
41,2021-09-13 14:50:47.774240,u
42,2021-09-13 14:50:48.900084,t
43,2021-09-13 14:50:49.398557,y
44,2021-09-13 14:50:49.877838,u
45,2021-09-13 14:50:50.802629,t
46,2021-09-13 14:50:51.380353,y
47,2021-09-13 14:50:51.747537,u
48,2021-09-13 14:50:52.723499,t
49,2021-09-13 14:50:53.176776,y
50,2021-09-13 14:50:53.635697,u
51,2021-09-13 14:50:54.536648,t
52,2021-09-13 14:50:55.063612,y
53,2021-09-13 14:50:55.433108,u
