,time,status
0,2021-09-13 14:07:21.487699,t
1,2021-09-13 14:07:22.042111,y
2,2021-09-13 14:07:22.633896,u
3,2021-09-13 14:07:23.797139,t
4,2021-09-13 14:07:24.654110,y
5,2021-09-13 14:07:25.666335,u
6,2021-09-13 14:07:27.081536,t
7,2021-09-13 14:07:27.529731,y
8,2021-09-13 14:07:28.118152,u
9,2021-09-13 14:07:29.152335,t
10,2021-09-13 14:07:29.549686,y
11,2021-09-13 14:07:30.143327,u
12,2021-09-13 14:07:31.073983,t
13,2021-09-13 14:07:31.615342,y
14,2021-09-13 14:07:32.229273,u
15,2021-09-13 14:07:33.253793,t
16,2021-09-13 14:07:33.762000,y
17,2021-09-13 14:07:34.252190,u
18,2021-09-13 14:07:35.342132,t
19,2021-09-13 14:07:35.763855,y
20,2021-09-13 14:07:36.148255,u
21,2021-09-13 14:07:37.389840,t
22,2021-09-13 14:07:37.775507,y
23,2021-09-13 14:07:38.115124,u
24,2021-09-13 14:07:39.225275,t
25,2021-09-13 14:07:39.658550,y
26,2021-09-13 14:07:40.091581,u
27,2021-09-13 14:07:41.121538,t
28,2021-09-13 14:07:41.625103,y
29,2021-09-13 14:07:42.032844,u
30,2021-09-13 14:07:43.232495,t
31,2021-09-13 14:07:43.727983,y
32,2021-09-13 14:07:44.069486,u
33,2021-09-13 14:07:45.422803,t
34,2021-09-13 14:07:45.843330,y
35,2021-09-13 14:07:46.213376,u
36,2021-09-13 14:07:47.749676,t
37,2021-09-13 14:07:48.213015,y
38,2021-09-13 14:07:48.646211,u
39,2021-09-13 14:07:49.940789,t
40,2021-09-13 14:07:50.267937,y
41,2021-09-13 14:07:50.652768,u
42,2021-09-13 14:07:52.032141,t
43,2021-09-13 14:07:52.416968,y
44,2021-09-13 14:07:52.775703,u
45,2021-09-13 14:07:54.089178,t
46,2021-09-13 14:07:54.573852,y
47,2021-09-13 14:07:54.841110,u
48,2021-09-13 14:07:56.050744,t
49,2021-09-13 14:07:56.567797,y
50,2021-09-13 14:07:57.026567,u
51,2021-09-13 14:07:58.431268,t
52,2021-09-13 14:07:59.097835,y
53,2021-09-13 14:07:59.465323,u
