,time,status
0,2021-09-13 14:25:37.418864,t
1,2021-09-13 14:25:37.785966,y
2,2021-09-13 14:25:38.105707,u
3,2021-09-13 14:25:38.709143,t
4,2021-09-13 14:25:38.990233,y
5,2021-09-13 14:25:39.365116,u
6,2021-09-13 14:25:40.046566,t
7,2021-09-13 14:25:40.411886,y
8,2021-09-13 14:25:40.781119,u
9,2021-09-13 14:25:41.526503,t
10,2021-09-13 14:25:41.901353,y
11,2021-09-13 14:25:42.302898,u
12,2021-09-13 14:25:43.101217,t
13,2021-09-13 14:25:43.452951,y
14,2021-09-13 14:25:43.861921,u
15,2021-09-13 14:25:44.678928,t
16,2021-09-13 14:25:45.157898,y
17,2021-09-13 14:25:45.619683,u
18,2021-09-13 14:25:46.695488,t
19,2021-09-13 14:25:46.989815,y
20,2021-09-13 14:25:47.666032,u
21,2021-09-13 14:25:48.229392,t
22,2021-09-13 14:25:48.638919,y
23,2021-09-13 14:25:49.015846,u
24,2021-09-13 14:25:49.794761,t
25,2021-09-13 14:25:50.111171,y
26,2021-09-13 14:25:50.531127,u
27,2021-09-13 14:25:51.102742,t
28,2021-09-13 14:25:51.468693,y
29,2021-09-13 14:25:51.938907,u
30,2021-09-13 14:25:52.522378,t
31,2021-09-13 14:25:52.872037,y
32,2021-09-13 14:25:53.283961,u
33,2021-09-13 14:25:53.737712,t
34,2021-09-13 14:25:54.072878,y
35,2021-09-13 14:25:54.633668,u
36,2021-09-13 14:25:55.158212,t
37,2021-09-13 14:25:55.495738,y
38,2021-09-13 14:25:55.949911,u
39,2021-09-13 14:25:56.457010,t
40,2021-09-13 14:25:56.750080,y
41,2021-09-13 14:25:57.109242,u
42,2021-09-13 14:25:57.821709,t
43,2021-09-13 14:25:58.100315,y
44,2021-09-13 14:25:58.504778,u
45,2021-09-13 14:25:59.056022,t
46,2021-09-13 14:25:59.409997,y
47,2021-09-13 14:25:59.778152,u
48,2021-09-13 14:26:00.401455,t
49,2021-09-13 14:26:00.846019,y
50,2021-09-13 14:26:01.197714,u
51,2021-09-13 14:26:01.823295,t
52,2021-09-13 14:26:02.328964,y
53,2021-09-13 14:26:02.583765,u
