,time,status
0,2021-09-13 14:11:11.026236,t
1,2021-09-13 14:11:11.337331,y
2,2021-09-13 14:11:11.812321,u
3,2021-09-13 14:11:12.367619,t
4,2021-09-13 14:11:12.691428,y
5,2021-09-13 14:11:13.007746,u
6,2021-09-13 14:11:13.752837,t
7,2021-09-13 14:11:14.178170,y
8,2021-09-13 14:11:14.555195,u
9,2021-09-13 14:11:15.384743,t
10,2021-09-13 14:11:15.744996,y
11,2021-09-13 14:11:16.104269,u
12,2021-09-13 14:11:17.135698,t
13,2021-09-13 14:11:17.511123,y
14,2021-09-13 14:11:17.891133,u
15,2021-09-13 14:11:18.754893,t
16,2021-09-13 14:11:19.173325,y
17,2021-09-13 14:11:19.630918,u
18,2021-09-13 14:11:20.641773,t
19,2021-09-13 14:11:21.021122,y
20,2021-09-13 14:11:21.408440,u
21,2021-09-13 14:11:22.312861,t
22,2021-09-13 14:11:22.628320,y
23,2021-09-13 14:11:22.972794,u
24,2021-09-13 14:11:24.034091,t
25,2021-09-13 14:11:24.424778,y
26,2021-09-13 14:11:24.809609,u
27,2021-09-13 14:11:25.640682,t
28,2021-09-13 14:11:25.967090,y
29,2021-09-13 14:11:26.305354,u
30,2021-09-13 14:11:27.084874,t
31,2021-09-13 14:11:27.500163,y
32,2021-09-13 14:11:27.844018,u
33,2021-09-13 14:11:28.695457,t
34,2021-09-13 14:11:29.092314,y
35,2021-09-13 14:11:29.426634,u
36,2021-09-13 14:11:30.324807,t
37,2021-09-13 14:11:30.736766,y
38,2021-09-13 14:11:31.060482,u
39,2021-09-13 14:11:31.930122,t
40,2021-09-13 14:11:32.254013,y
41,2021-09-13 14:11:32.580131,u
42,2021-09-13 14:11:33.357857,t
43,2021-09-13 14:11:33.713976,y
44,2021-09-13 14:11:34.092077,u
45,2021-09-13 14:11:34.949952,t
46,2021-09-13 14:11:35.349201,y
47,2021-09-13 14:11:35.640620,u
48,2021-09-13 14:11:36.394451,t
49,2021-09-13 14:11:36.812954,y
50,2021-09-13 14:11:37.128323,u
51,2021-09-13 14:11:38.020745,t
52,2021-09-13 14:11:38.360018,y
53,2021-09-13 14:11:38.670271,u
