,time,status
0,2021-09-13 14:27:35.040650,t
1,2021-09-13 14:27:35.356633,y
2,2021-09-13 14:27:35.654478,u
3,2021-09-13 14:27:36.222037,t
4,2021-09-13 14:27:36.582160,y
5,2021-09-13 14:27:36.917023,u
6,2021-09-13 14:27:37.635816,t
7,2021-09-13 14:27:38.040676,y
8,2021-09-13 14:27:38.363529,u
9,2021-09-13 14:27:39.102180,t
10,2021-09-13 14:27:39.428197,y
11,2021-09-13 14:27:39.743027,u
12,2021-09-13 14:27:40.382078,t
13,2021-09-13 14:27:40.861638,y
14,2021-09-13 14:27:41.313438,u
15,2021-09-13 14:27:41.988060,t
16,2021-09-13 14:27:42.323071,y
17,2021-09-13 14:27:42.735808,u
18,2021-09-13 14:27:43.389606,t
19,2021-09-13 14:27:43.714214,y
20,2021-09-13 14:27:44.076778,u
21,2021-09-13 14:27:44.664570,t
22,2021-09-13 14:27:44.988951,y
23,2021-09-13 14:27:45.351513,u
24,2021-09-13 14:27:46.004731,t
25,2021-09-13 14:27:46.411991,y
26,2021-09-13 14:27:46.725952,u
27,2021-09-13 14:27:47.597010,t
28,2021-09-13 14:27:47.947801,y
29,2021-09-13 14:27:48.297859,u
30,2021-09-13 14:27:49.037075,t
31,2021-09-13 14:27:49.326927,y
32,2021-09-13 14:27:49.658887,u
33,2021-09-13 14:27:50.283536,t
34,2021-09-13 14:27:50.621780,y
35,2021-09-13 14:27:50.948300,u
36,2021-09-13 14:27:51.522716,t
37,2021-09-13 14:27:51.850745,y
38,2021-09-13 14:27:52.169603,u
39,2021-09-13 14:27:52.734474,t
40,2021-09-13 14:27:53.066760,y
41,2021-09-13 14:27:53.364615,u
42,2021-09-13 14:27:53.969374,t
43,2021-09-13 14:27:54.301158,y
44,2021-09-13 14:27:54.630085,u
45,2021-09-13 14:27:55.251542,t
46,2021-09-13 14:27:55.566025,y
47,2021-09-13 14:27:55.940618,u
48,2021-09-13 14:27:56.392665,t
49,2021-09-13 14:27:56.687980,y
50,2021-09-13 14:27:57.031964,u
51,2021-09-13 14:27:57.467814,t
52,2021-09-13 14:27:57.808226,y
53,2021-09-13 14:27:58.141650,u
