,time,status
0,2021-09-13 14:44:24.242436,t
1,2021-09-13 14:44:24.671219,y
2,2021-09-13 14:44:25.035315,u
3,2021-09-13 14:44:25.663599,t
4,2021-09-13 14:44:26.103854,y
5,2021-09-13 14:44:26.542924,u
6,2021-09-13 14:44:27.283888,t
7,2021-09-13 14:44:27.849831,y
8,2021-09-13 14:44:28.210584,u
9,2021-09-13 14:44:29.400095,t
10,2021-09-13 14:44:29.734868,y
11,2021-09-13 14:44:30.087795,u
12,2021-09-13 14:44:30.840925,t
13,2021-09-13 14:44:31.156168,y
14,2021-09-13 14:44:31.532155,u
15,2021-09-13 14:44:32.294749,t
16,2021-09-13 14:44:32.850009,y
17,2021-09-13 14:44:33.312564,u
18,2021-09-13 14:44:33.972003,t
19,2021-09-13 14:44:34.361115,y
20,2021-09-13 14:44:34.780303,u
21,2021-09-13 14:44:35.485598,t
22,2021-09-13 14:44:35.923878,y
23,2021-09-13 14:44:36.273859,u
24,2021-09-13 14:44:36.917078,t
25,2021-09-13 14:44:37.346915,y
26,2021-09-13 14:44:37.794392,u
27,2021-09-13 14:44:38.570064,t
28,2021-09-13 14:44:39.003351,y
29,2021-09-13 14:44:39.401170,u
30,2021-09-13 14:44:40.080029,t
31,2021-09-13 14:44:40.546145,y
32,2021-09-13 14:44:41.047760,u
33,2021-09-13 14:44:41.871158,t
34,2021-09-13 14:44:42.208157,y
35,2021-09-13 14:44:42.522366,u
36,2021-09-13 14:44:43.151752,t
37,2021-09-13 14:44:43.524227,y
38,2021-09-13 14:44:43.913773,u
39,2021-09-13 14:44:44.507308,t
40,2021-09-13 14:44:45.008198,y
41,2021-09-13 14:44:45.390591,u
42,2021-09-13 14:44:46.006849,t
43,2021-09-13 14:44:46.519081,y
44,2021-09-13 14:44:46.885281,u
45,2021-09-13 14:44:47.477796,t
46,2021-09-13 14:44:47.825938,y
47,2021-09-13 14:44:48.238551,u
48,2021-09-13 14:44:49.060727,t
49,2021-09-13 14:44:49.494297,y
50,2021-09-13 14:44:49.908177,u
51,2021-09-13 14:44:50.900631,t
52,2021-09-13 14:44:51.297095,y
53,2021-09-13 14:44:51.670518,u
