,time,status
0,2021-09-13 14:09:31.154882,t
1,2021-09-13 14:09:31.520833,y
2,2021-09-13 14:09:31.879711,u
3,2021-09-13 14:09:32.539738,t
4,2021-09-13 14:09:33.051582,y
5,2021-09-13 14:09:33.442336,u
6,2021-09-13 14:09:34.522036,t
7,2021-09-13 14:09:34.875542,y
8,2021-09-13 14:09:35.312416,u
9,2021-09-13 14:09:36.115137,t
10,2021-09-13 14:09:36.657733,y
11,2021-09-13 14:09:37.084601,u
12,2021-09-13 14:09:38.176487,t
13,2021-09-13 14:09:38.605970,y
14,2021-09-13 14:09:38.950364,u
15,2021-09-13 14:09:40.036177,t
16,2021-09-13 14:09:40.526540,y
17,2021-09-13 14:09:40.918051,u
18,2021-09-13 14:09:42.114216,t
19,2021-09-13 14:09:42.522829,y
20,2021-09-13 14:09:42.941403,u
21,2021-09-13 14:09:43.842663,t
22,2021-09-13 14:09:44.259106,y
23,2021-09-13 14:09:44.664207,u
24,2021-09-13 14:09:45.555483,t
25,2021-09-13 14:09:45.993510,y
26,2021-09-13 14:09:46.390884,u
27,2021-09-13 14:09:47.209274,t
28,2021-09-13 14:09:47.661063,y
29,2021-09-13 14:09:48.074854,u
30,2021-09-13 14:09:48.871468,t
31,2021-09-13 14:09:49.285797,y
32,2021-09-13 14:09:49.647560,u
33,2021-09-13 14:09:50.483589,t
34,2021-09-13 14:09:50.903035,y
35,2021-09-13 14:09:51.261869,u
36,2021-09-13 14:09:52.192911,t
37,2021-09-13 14:09:52.558839,y
38,2021-09-13 14:09:52.934667,u
39,2021-09-13 14:09:53.808778,t
40,2021-09-13 14:09:54.234391,y
41,2021-09-13 14:09:54.599856,u
42,2021-09-13 14:09:55.484865,t
43,2021-09-13 14:09:55.963752,y
44,2021-09-13 14:09:56.309534,u
45,2021-09-13 14:09:57.209583,t
46,2021-09-13 14:09:57.605402,y
47,2021-09-13 14:09:58.009233,u
48,2021-09-13 14:09:58.900950,t
49,2021-09-13 14:09:59.294808,y
50,2021-09-13 14:09:59.618258,u
51,2021-09-13 14:10:00.477593,t
52,2021-09-13 14:10:00.841843,y
53,2021-09-13 14:10:01.106317,u
