,time,status
0,2021-09-13 14:53:12.727653,t
1,2021-09-13 14:53:13.029238,y
2,2021-09-13 14:53:13.403411,u
3,2021-09-13 14:53:14.284550,t
4,2021-09-13 14:53:14.594039,y
5,2021-09-13 14:53:14.903700,u
6,2021-09-13 14:53:15.609556,t
7,2021-09-13 14:53:15.985891,y
8,2021-09-13 14:53:16.333061,u
9,2021-09-13 14:53:17.260662,t
10,2021-09-13 14:53:17.690390,y
11,2021-09-13 14:53:18.045537,u
12,2021-09-13 14:53:18.941963,t
13,2021-09-13 14:53:19.332298,y
14,2021-09-13 14:53:19.717518,u
15,2021-09-13 14:53:20.603043,t
16,2021-09-13 14:53:21.052930,y
17,2021-09-13 14:53:21.451516,u
18,2021-09-13 14:53:22.247601,t
19,2021-09-13 14:53:22.719801,y
20,2021-09-13 14:53:23.241419,u
21,2021-09-13 14:53:24.309314,t
22,2021-09-13 14:53:24.747394,y
23,2021-09-13 14:53:25.180653,u
24,2021-09-13 14:53:26.089751,t
25,2021-09-13 14:53:26.495947,y
26,2021-09-13 14:53:26.904882,u
27,2021-09-13 14:53:27.813712,t
28,2021-09-13 14:53:28.170930,y
29,2021-09-13 14:53:28.472861,u
30,2021-09-13 14:53:29.288599,t
31,2021-09-13 14:53:29.657154,y
32,2021-09-13 14:53:30.042595,u
33,2021-09-13 14:53:30.861853,t
34,2021-09-13 14:53:31.301736,y
35,2021-09-13 14:53:31.535424,u
36,2021-09-13 14:53:32.466861,t
37,2021-09-13 14:53:32.816087,y
38,2021-09-13 14:53:33.138305,u
39,2021-09-13 14:53:34.030083,t
40,2021-09-13 14:53:34.433704,y
41,2021-09-13 14:53:34.787861,u
42,2021-09-13 14:53:35.504492,t
43,2021-09-13 14:53:36.131193,y
44,2021-09-13 14:53:36.495361,u
45,2021-09-13 14:53:37.364242,t
46,2021-09-13 14:53:37.746214,y
47,2021-09-13 14:53:38.104445,u
48,2021-09-13 14:53:39.149028,t
49,2021-09-13 14:53:39.604627,y
50,2021-09-13 14:53:40.000552,u
51,2021-09-13 14:53:40.931858,t
52,2021-09-13 14:53:41.346196,y
53,2021-09-13 14:53:41.632183,u
