,time,status
0,2021-09-13 14:08:42.173697,t
1,2021-09-13 14:08:42.620589,y
2,2021-09-13 14:08:43.199784,u
3,2021-09-13 14:08:43.883765,t
4,2021-09-13 14:08:44.234333,y
5,2021-09-13 14:08:44.633922,u
6,2021-09-13 14:08:45.756301,t
7,2021-09-13 14:08:46.029728,y
8,2021-09-13 14:08:46.306312,u
9,2021-09-13 14:08:47.067060,t
10,2021-09-13 14:08:47.442517,y
11,2021-09-13 14:08:47.782731,u
12,2021-09-13 14:08:48.771797,t
13,2021-09-13 14:08:49.159515,y
14,2021-09-13 14:08:49.464240,u
15,2021-09-13 14:08:50.384550,t
16,2021-09-13 14:08:50.957931,y
17,2021-09-13 14:08:51.281265,u
18,2021-09-13 14:08:52.421934,t
19,2021-09-13 14:08:52.795512,y
20,2021-09-13 14:08:53.139362,u
21,2021-09-13 14:08:54.121071,t
22,2021-09-13 14:08:54.474535,y
23,2021-09-13 14:08:54.811649,u
24,2021-09-13 14:08:55.633723,t
25,2021-09-13 14:08:55.951496,y
26,2021-09-13 14:08:56.317733,u
27,2021-09-13 14:08:56.998296,t
28,2021-09-13 14:08:57.372576,y
29,2021-09-13 14:08:57.725425,u
30,2021-09-13 14:08:58.284407,t
31,2021-09-13 14:08:58.661568,y
32,2021-09-13 14:08:59.053943,u
33,2021-09-13 14:08:59.821541,t
34,2021-09-13 14:09:00.245761,y
35,2021-09-13 14:09:00.625078,u
36,2021-09-13 14:09:01.428640,t
37,2021-09-13 14:09:01.768207,y
38,2021-09-13 14:09:02.157588,u
39,2021-09-13 14:09:03.063005,t
40,2021-09-13 14:09:03.435922,y
41,2021-09-13 14:09:03.855937,u
42,2021-09-13 14:09:04.648311,t
43,2021-09-13 14:09:05.039367,y
44,2021-09-13 14:09:05.425392,u
45,2021-09-13 14:09:06.190475,t
46,2021-09-13 14:09:06.535113,y
47,2021-09-13 14:09:06.916163,u
48,2021-09-13 14:09:07.524756,t
49,2021-09-13 14:09:07.918006,y
50,2021-09-13 14:09:08.224182,u
51,2021-09-13 14:09:09.077612,t
52,2021-09-13 14:09:09.451477,y
53,2021-09-13 14:09:09.745255,u
