,time,status
0,2021-09-13 14:26:20.373514,t
1,2021-09-13 14:26:20.756650,y
2,2021-09-13 14:26:21.278072,u
3,2021-09-13 14:26:22.011610,t
4,2021-09-13 14:26:22.460069,y
5,2021-09-13 14:26:22.789996,u
6,2021-09-13 14:26:23.395431,t
7,2021-09-13 14:26:23.810738,y
8,2021-09-13 14:26:24.211129,u
9,2021-09-13 14:26:24.810794,t
10,2021-09-13 14:26:25.192691,y
11,2021-09-13 14:26:25.591756,u
12,2021-09-13 14:26:26.201613,t
13,2021-09-13 14:26:26.547939,y
14,2021-09-13 14:26:26.935294,u
15,2021-09-13 14:26:27.436022,t
16,2021-09-13 14:26:27.762977,y
17,2021-09-13 14:26:28.182012,u
18,2021-09-13 14:26:28.734382,t
19,2021-09-13 14:26:28.993686,y
20,2021-09-13 14:26:29.448942,u
21,2021-09-13 14:26:30.004874,t
22,2021-09-13 14:26:30.278580,y
23,2021-09-13 14:26:30.669171,u
24,2021-09-13 14:26:31.215167,t
25,2021-09-13 14:26:31.529532,y
26,2021-09-13 14:26:31.936718,u
27,2021-09-13 14:26:32.473766,t
28,2021-09-13 14:26:32.779794,y
29,2021-09-13 14:26:33.009408,u
30,2021-09-13 14:26:33.625767,t
31,2021-09-13 14:26:33.950054,y
32,2021-09-13 14:26:34.324737,u
33,2021-09-13 14:26:34.830614,t
34,2021-09-13 14:26:35.164903,y
35,2021-09-13 14:26:35.547737,u
36,2021-09-13 14:26:36.081526,t
37,2021-09-13 14:26:36.375926,y
38,2021-09-13 14:26:36.692826,u
39,2021-09-13 14:26:37.223958,t
40,2021-09-13 14:26:37.525241,y
41,2021-09-13 14:26:37.838259,u
42,2021-09-13 14:26:38.437653,t
43,2021-09-13 14:26:38.742390,y
44,2021-09-13 14:26:39.072945,u
45,2021-09-13 14:26:39.649406,t
46,2021-09-13 14:26:39.954655,y
47,2021-09-13 14:26:40.324502,u
48,2021-09-13 14:26:40.888230,t
49,2021-09-13 14:26:41.229746,y
50,2021-09-13 14:26:41.549985,u
51,2021-09-13 14:26:42.048371,t
52,2021-09-13 14:26:42.326088,y
53,2021-09-13 14:26:42.696641,u
