,time,status
0,2021-09-13 14:28:27.674369,t
1,2021-09-13 14:28:27.942972,y
2,2021-09-13 14:28:28.261707,u
3,2021-09-13 14:28:28.837289,t
4,2021-09-13 14:28:29.146644,y
5,2021-09-13 14:28:29.465033,u
6,2021-09-13 14:28:30.143228,t
7,2021-09-13 14:28:30.473110,y
8,2021-09-13 14:28:30.804697,u
9,2021-09-13 14:28:31.585837,t
10,2021-09-13 14:28:31.895675,y
11,2021-09-13 14:28:32.299946,u
12,2021-09-13 14:28:33.025899,t
13,2021-09-13 14:28:33.375005,y
14,2021-09-13 14:28:33.730707,u
15,2021-09-13 14:28:34.396125,t
16,2021-09-13 14:28:34.731897,y
17,2021-09-13 14:28:35.176826,u
18,2021-09-13 14:28:36.014088,t
19,2021-09-13 14:28:36.378659,y
20,2021-09-13 14:28:36.866467,u
21,2021-09-13 14:28:37.512743,t
22,2021-09-13 14:28:37.772556,y
23,2021-09-13 14:28:38.380389,u
24,2021-09-13 14:28:38.892403,t
25,2021-09-13 14:28:39.236713,y
26,2021-09-13 14:28:39.683768,u
27,2021-09-13 14:28:40.333493,t
28,2021-09-13 14:28:40.637365,y
29,2021-09-13 14:28:40.994662,u
30,2021-09-13 14:28:41.691801,t
31,2021-09-13 14:28:41.989711,y
32,2021-09-13 14:28:42.449561,u
33,2021-09-13 14:28:43.332931,t
34,2021-09-13 14:28:43.634974,y
35,2021-09-13 14:28:44.170918,u
36,2021-09-13 14:28:44.692700,t
37,2021-09-13 14:28:44.968290,y
38,2021-09-13 14:28:45.361956,u
39,2021-09-13 14:28:45.971235,t
40,2021-09-13 14:28:46.272678,y
41,2021-09-13 14:28:46.526991,u
42,2021-09-13 14:28:47.344081,t
43,2021-09-13 14:28:47.648253,y
44,2021-09-13 14:28:47.968531,u
45,2021-09-13 14:28:48.743987,t
46,2021-09-13 14:28:48.987142,y
47,2021-09-13 14:28:49.818235,u
48,2021-09-13 14:28:50.308212,t
49,2021-09-13 14:28:50.620047,y
50,2021-09-13 14:28:51.236298,u
51,2021-09-13 14:28:51.844239,t
52,2021-09-13 14:28:52.165616,y
53,2021-09-13 14:28:52.602099,u
