,time,status
0,2021-09-13 14:45:18.754426,t
1,2021-09-13 14:45:18.993498,y
2,2021-09-13 14:45:19.264843,u
3,2021-09-13 14:45:20.247637,t
4,2021-09-13 14:45:20.522929,y
5,2021-09-13 14:45:20.800335,u
6,2021-09-13 14:45:21.879470,t
7,2021-09-13 14:45:22.175281,y
8,2021-09-13 14:45:22.489864,u
9,2021-09-13 14:45:23.367216,t
10,2021-09-13 14:45:23.732882,y
11,2021-09-13 14:45:24.081934,u
12,2021-09-13 14:45:25.015837,t
13,2021-09-13 14:45:25.332510,y
14,2021-09-13 14:45:25.633445,u
15,2021-09-13 14:45:26.852265,t
16,2021-09-13 14:45:27.166697,y
17,2021-09-13 14:45:27.909400,u
18,2021-09-13 14:45:28.673949,t
19,2021-09-13 14:45:29.118541,y
20,2021-09-13 14:45:29.689993,u
21,2021-09-13 14:45:30.714952,t
22,2021-09-13 14:45:31.129138,y
23,2021-09-13 14:45:31.514279,u
24,2021-09-13 14:45:32.619992,t
25,2021-09-13 14:45:32.965918,y
26,2021-09-13 14:45:33.282589,u
27,2021-09-13 14:45:34.317284,t
28,2021-09-13 14:45:34.631111,y
29,2021-09-13 14:45:35.065331,u
30,2021-09-13 14:45:36.128641,t
31,2021-09-13 14:45:36.547751,y
32,2021-09-13 14:45:36.957171,u
33,2021-09-13 14:45:37.902799,t
34,2021-09-13 14:45:38.410162,y
35,2021-09-13 14:45:38.833506,u
36,2021-09-13 14:45:39.934169,t
37,2021-09-13 14:45:40.393862,y
38,2021-09-13 14:45:40.790099,u
39,2021-09-13 14:45:42.015071,t
40,2021-09-13 14:45:42.349553,y
41,2021-09-13 14:45:42.845876,u
42,2021-09-13 14:45:44.087884,t
43,2021-09-13 14:45:44.464829,y
44,2021-09-13 14:45:44.933268,u
45,2021-09-13 14:45:46.136270,t
46,2021-09-13 14:45:46.554943,y
47,2021-09-13 14:45:46.982734,u
48,2021-09-13 14:45:47.952108,t
49,2021-09-13 14:45:48.375903,y
50,2021-09-13 14:45:48.846799,u
51,2021-09-13 14:45:49.980643,t
52,2021-09-13 14:45:50.521197,y
53,2021-09-13 14:45:51.153312,u
