,time,status
0,2021-09-14 15:36:03.965218,t
1,2021-09-14 15:36:04.393932,y
2,2021-09-14 15:36:05.134117,u
3,2021-09-14 15:36:06.416512,t
4,2021-09-14 15:36:07.008902,y
5,2021-09-14 15:36:07.539985,u
6,2021-09-14 15:36:09.308728,t
7,2021-09-14 15:36:09.767090,y
8,2021-09-14 15:36:10.263235,u
9,2021-09-14 15:36:11.355642,t
10,2021-09-14 15:36:12.165564,y
11,2021-09-14 15:36:12.893595,u
12,2021-09-14 15:36:14.259278,t
13,2021-09-14 15:36:14.835634,y
14,2021-09-14 15:36:15.355395,u
15,2021-09-14 15:36:16.761839,t
16,2021-09-14 15:36:17.306029,y
17,2021-09-14 15:36:17.999578,u
18,2021-09-14 15:36:19.435158,t
19,2021-09-14 15:36:20.021929,y
20,2021-09-14 15:36:20.620950,u
21,2021-09-14 15:36:22.018232,t
22,2021-09-14 15:36:22.568761,y
23,2021-09-14 15:36:23.350869,u
24,2021-09-14 15:36:24.722766,t
25,2021-09-14 15:36:25.340872,y
26,2021-09-14 15:36:25.926591,u
27,2021-09-14 15:36:27.364050,t
28,2021-09-14 15:36:27.981268,y
29,2021-09-14 15:36:28.608451,u
30,2021-09-14 15:36:30.031770,t
31,2021-09-14 15:36:30.699143,y
32,2021-09-14 15:36:31.270314,u
33,2021-09-14 15:36:32.570016,t
34,2021-09-14 15:36:33.095729,y
35,2021-09-14 15:36:33.667307,u
36,2021-09-14 15:36:35.134907,t
37,2021-09-14 15:36:35.685197,y
38,2021-09-14 15:36:36.336221,u
39,2021-09-14 15:36:37.638949,t
40,2021-09-14 15:36:38.224057,y
41,2021-09-14 15:36:38.900341,u
42,2021-09-14 15:36:40.243115,t
43,2021-09-14 15:36:40.963008,y
44,2021-09-14 15:36:41.551311,u
45,2021-09-14 15:36:43.122275,t
46,2021-09-14 15:36:43.762981,y
47,2021-09-14 15:36:44.379673,u
48,2021-09-14 15:36:46.129335,t
49,2021-09-14 15:36:46.691144,y
50,2021-09-14 15:36:47.327827,u
51,2021-09-14 15:36:48.728800,t
52,2021-09-14 15:36:49.368549,y
53,2021-09-14 15:36:50.081270,u
