,time,status
0,2021-09-14 15:46:51.518044,t
1,2021-09-14 15:46:51.875763,y
2,2021-09-14 15:46:52.379380,u
3,2021-09-14 15:46:53.327790,t
4,2021-09-14 15:46:53.846871,y
5,2021-09-14 15:46:54.396223,u
6,2021-09-14 15:46:55.416145,t
7,2021-09-14 15:46:55.953798,y
8,2021-09-14 15:46:56.388106,u
9,2021-09-14 15:46:57.301227,t
10,2021-09-14 15:46:57.932707,y
11,2021-09-14 15:46:58.461706,u
12,2021-09-14 15:46:59.587648,t
13,2021-09-14 15:47:00.307361,y
14,2021-09-14 15:47:00.845943,u
15,2021-09-14 15:47:02.334497,t
16,2021-09-14 15:47:02.926900,y
17,2021-09-14 15:47:03.496050,u
18,2021-09-14 15:47:04.611365,t
19,2021-09-14 15:47:05.153521,y
20,2021-09-14 15:47:05.647173,u
21,2021-09-14 15:47:06.764298,t
22,2021-09-14 15:47:07.310225,y
23,2021-09-14 15:47:07.807103,u
24,2021-09-14 15:47:09.041605,t
25,2021-09-14 15:47:09.603267,y
26,2021-09-14 15:47:10.045137,u
27,2021-09-14 15:47:11.062676,t
28,2021-09-14 15:47:11.673295,y
29,2021-09-14 15:47:12.171691,u
30,2021-09-14 15:47:13.369068,t
31,2021-09-14 15:47:13.934281,y
32,2021-09-14 15:47:14.438105,u
33,2021-09-14 15:47:15.676409,t
34,2021-09-14 15:47:16.219558,y
35,2021-09-14 15:47:16.695954,u
36,2021-09-14 15:47:17.757768,t
37,2021-09-14 15:47:18.197901,y
38,2021-09-14 15:47:18.662281,u
39,2021-09-14 15:47:19.649427,t
40,2021-09-14 15:47:20.189015,y
41,2021-09-14 15:47:20.702729,u
42,2021-09-14 15:47:21.670718,t
43,2021-09-14 15:47:22.200341,y
44,2021-09-14 15:47:22.610403,u
45,2021-09-14 15:47:23.689055,t
46,2021-09-14 15:47:24.161684,y
47,2021-09-14 15:47:24.533969,u
48,2021-09-14 15:47:25.678118,t
49,2021-09-14 15:47:26.213975,y
50,2021-09-14 15:47:26.585724,u
51,2021-09-14 15:47:27.791114,t
52,2021-09-14 15:47:28.311251,y
53,2021-09-14 15:47:28.654881,u
