,time,status
0,2021-09-14 15:56:25.372811,t
1,2021-09-14 15:56:25.722081,y
2,2021-09-14 15:56:26.093451,u
3,2021-09-14 15:56:26.614579,t
4,2021-09-14 15:56:26.994021,y
5,2021-09-14 15:56:27.399420,u
6,2021-09-14 15:56:28.248876,t
7,2021-09-14 15:56:28.677730,y
8,2021-09-14 15:56:29.066760,u
9,2021-09-14 15:56:30.265575,t
10,2021-09-14 15:56:30.905724,y
11,2021-09-14 15:56:31.353178,u
12,2021-09-14 15:56:32.610244,t
13,2021-09-14 15:56:33.070669,y
14,2021-09-14 15:56:33.479150,u
15,2021-09-14 15:56:34.547661,t
16,2021-09-14 15:56:35.016444,y
17,2021-09-14 15:56:35.477846,u
18,2021-09-14 15:56:36.385023,t
19,2021-09-14 15:56:36.948684,y
20,2021-09-14 15:56:37.424040,u
21,2021-09-14 15:56:38.511664,t
22,2021-09-14 15:56:38.922504,y
23,2021-09-14 15:56:39.253675,u
24,2021-09-14 15:56:40.420178,t
25,2021-09-14 15:56:40.866340,y
26,2021-09-14 15:56:41.276753,u
27,2021-09-14 15:56:42.163031,t
28,2021-09-14 15:56:42.763347,y
29,2021-09-14 15:56:43.109624,u
30,2021-09-14 15:56:44.272487,t
31,2021-09-14 15:56:44.776224,y
32,2021-09-14 15:56:45.176954,u
33,2021-09-14 15:56:46.053916,t
34,2021-09-14 15:56:46.603974,y
35,2021-09-14 15:56:47.002172,u
36,2021-09-14 15:56:48.295182,t
37,2021-09-14 15:56:48.779337,y
38,2021-09-14 15:56:49.153889,u
39,2021-09-14 15:56:50.114204,t
40,2021-09-14 15:56:50.532432,y
41,2021-09-14 15:56:50.858718,u
42,2021-09-14 15:56:51.848529,t
43,2021-09-14 15:56:52.438948,y
44,2021-09-14 15:56:52.792278,u
45,2021-09-14 15:56:53.685478,t
46,2021-09-14 15:56:54.294813,y
47,2021-09-14 15:56:54.668890,u
48,2021-09-14 15:56:55.794346,t
49,2021-09-14 15:56:56.401103,y
50,2021-09-14 15:56:56.806295,u
51,2021-09-14 15:56:58.240249,t
52,2021-09-14 15:56:58.720467,y
53,2021-09-14 15:56:59.063969,u
