,time,status
0,2021-09-14 15:30:00.881336,t
1,2021-09-14 15:30:01.275587,y
2,2021-09-14 15:30:01.716987,u
3,2021-09-14 15:30:02.682301,t
4,2021-09-14 15:30:03.617483,y
5,2021-09-14 15:30:04.772576,u
6,2021-09-14 15:30:05.572309,t
7,2021-09-14 15:30:06.064426,y
8,2021-09-14 15:30:06.747262,u
9,2021-09-14 15:30:07.744194,t
10,2021-09-14 15:30:08.168861,y
11,2021-09-14 15:30:08.747291,u
12,2021-09-14 15:30:09.955869,t
13,2021-09-14 15:30:10.565259,y
14,2021-09-14 15:30:11.099585,u
15,2021-09-14 15:30:12.186458,t
16,2021-09-14 15:30:12.807088,y
17,2021-09-14 15:30:13.303426,u
18,2021-09-14 15:30:14.561457,t
19,2021-09-14 15:30:15.071598,y
20,2021-09-14 15:30:15.596872,u
21,2021-09-14 15:30:16.635444,t
22,2021-09-14 15:30:17.183814,y
23,2021-09-14 15:30:17.663404,u
24,2021-09-14 15:30:18.696847,t
25,2021-09-14 15:30:19.220098,y
26,2021-09-14 15:30:19.764174,u
27,2021-09-14 15:30:20.739179,t
28,2021-09-14 15:30:21.372890,y
29,2021-09-14 15:30:21.911042,u
30,2021-09-14 15:30:22.973772,t
31,2021-09-14 15:30:23.683082,y
32,2021-09-14 15:30:24.247820,u
33,2021-09-14 15:30:25.590139,t
34,2021-09-14 15:30:26.084745,y
35,2021-09-14 15:30:26.518612,u
36,2021-09-14 15:30:27.711507,t
37,2021-09-14 15:30:28.221426,y
38,2021-09-14 15:30:28.622114,u
39,2021-09-14 15:30:29.698111,t
40,2021-09-14 15:30:30.176809,y
41,2021-09-14 15:30:30.621424,u
42,2021-09-14 15:30:31.676727,t
43,2021-09-14 15:30:32.117211,y
44,2021-09-14 15:30:32.536237,u
45,2021-09-14 15:30:33.535430,t
46,2021-09-14 15:30:34.165775,y
47,2021-09-14 15:30:34.570107,u
48,2021-09-14 15:30:35.538343,t
49,2021-09-14 15:30:36.137423,y
50,2021-09-14 15:30:36.661334,u
51,2021-09-14 15:30:37.564748,t
52,2021-09-14 15:30:38.352958,y
53,2021-09-14 15:30:38.915618,u
