,time,status
0,2021-09-14 15:50:37.565497,t
1,2021-09-14 15:50:37.975361,y
2,2021-09-14 15:50:38.345629,u
3,2021-09-14 15:50:39.041406,t
4,2021-09-14 15:50:39.437387,y
5,2021-09-14 15:50:39.868630,u
6,2021-09-14 15:50:40.630620,t
7,2021-09-14 15:50:41.059930,y
8,2021-09-14 15:50:41.544474,u
9,2021-09-14 15:50:42.338356,t
10,2021-09-14 15:50:42.794620,y
11,2021-09-14 15:50:43.256975,u
12,2021-09-14 15:50:44.015678,t
13,2021-09-14 15:50:44.441076,y
14,2021-09-14 15:50:44.929163,u
15,2021-09-14 15:50:45.833021,t
16,2021-09-14 15:50:46.521728,y
17,2021-09-14 15:50:47.121191,u
18,2021-09-14 15:50:48.453717,t
19,2021-09-14 15:50:48.918951,y
20,2021-09-14 15:50:49.477524,u
21,2021-09-14 15:50:50.305794,t
22,2021-09-14 15:50:50.825209,y
23,2021-09-14 15:50:51.409891,u
24,2021-09-14 15:50:52.373231,t
25,2021-09-14 15:50:53.021908,y
26,2021-09-14 15:50:53.700953,u
27,2021-09-14 15:50:54.776345,t
28,2021-09-14 15:50:55.238506,y
29,2021-09-14 15:50:55.730108,u
30,2021-09-14 15:50:56.598399,t
31,2021-09-14 15:50:57.043638,y
32,2021-09-14 15:50:57.541046,u
33,2021-09-14 15:50:58.220345,t
34,2021-09-14 15:50:58.675700,y
35,2021-09-14 15:50:59.092641,u
36,2021-09-14 15:50:59.847481,t
37,2021-09-14 15:51:00.350181,y
38,2021-09-14 15:51:00.850784,u
39,2021-09-14 15:51:01.578746,t
40,2021-09-14 15:51:02.003224,y
41,2021-09-14 15:51:02.507862,u
42,2021-09-14 15:51:03.291299,t
43,2021-09-14 15:51:03.744716,y
44,2021-09-14 15:51:04.245479,u
45,2021-09-14 15:51:05.029762,t
46,2021-09-14 15:51:05.473893,y
47,2021-09-14 15:51:06.014634,u
48,2021-09-14 15:51:06.885800,t
49,2021-09-14 15:51:07.325545,y
50,2021-09-14 15:51:07.780043,u
51,2021-09-14 15:51:08.564454,t
52,2021-09-14 15:51:08.978737,y
53,2021-09-14 15:51:09.466158,u
54,2021-09-14 15:51:10.191192,t
55,2021-09-14 15:51:10.606810,y
56,2021-09-14 15:51:11.090445,u
57,2021-09-14 15:51:11.830297,t
58,2021-09-14 15:51:12.218229,y
59,2021-09-14 15:51:12.694967,u
60,2021-09-14 15:51:13.476447,t
61,2021-09-14 15:51:13.880986,y
62,2021-09-14 15:51:14.339819,u
63,2021-09-14 15:51:15.053794,t
64,2021-09-14 15:51:15.489441,y
65,2021-09-14 15:51:15.976902,u
66,2021-09-14 15:51:17.259875,t
67,2021-09-14 15:51:17.565434,y
68,2021-09-14 15:51:17.994712,u
69,2021-09-14 15:51:18.593462,t
70,2021-09-14 15:51:18.913078,y
71,2021-09-14 15:51:19.373297,u
72,2021-09-14 15:51:20.186396,t
73,2021-09-14 15:51:20.647327,y
74,2021-09-14 15:51:21.194516,u
75,2021-09-14 15:51:22.078591,t
76,2021-09-14 15:51:22.542288,y
77,2021-09-14 15:51:22.940709,u
78,2021-09-14 15:51:23.939120,t
79,2021-09-14 15:51:24.350119,y
80,2021-09-14 15:51:24.954732,u
