,time,status
0,2021-09-14 15:44:14.224490,t
1,2021-09-14 15:44:14.578573,y
2,2021-09-14 15:44:14.992125,u
3,2021-09-14 15:44:15.738429,t
4,2021-09-14 15:44:16.195285,y
5,2021-09-14 15:44:16.624819,u
6,2021-09-14 15:44:17.546132,t
7,2021-09-14 15:44:18.241446,y
8,2021-09-14 15:44:18.646711,u
9,2021-09-14 15:44:19.575636,t
10,2021-09-14 15:44:20.296195,y
11,2021-09-14 15:44:20.712604,u
12,2021-09-14 15:44:21.888231,t
13,2021-09-14 15:44:22.441028,y
14,2021-09-14 15:44:22.903767,u
15,2021-09-14 15:44:23.750577,t
16,2021-09-14 15:44:24.393169,y
17,2021-09-14 15:44:24.825551,u
18,2021-09-14 15:44:25.848646,t
19,2021-09-14 15:44:26.466654,y
20,2021-09-14 15:44:26.906652,u
21,2021-09-14 15:44:27.906167,t
22,2021-09-14 15:44:28.419361,y
23,2021-09-14 15:44:28.874707,u
24,2021-09-14 15:44:29.842220,t
25,2021-09-14 15:44:30.446114,y
26,2021-09-14 15:44:30.881009,u
27,2021-09-14 15:44:31.949703,t
28,2021-09-14 15:44:32.448173,y
29,2021-09-14 15:44:32.881811,u
30,2021-09-14 15:44:33.835248,t
31,2021-09-14 15:44:34.309805,y
32,2021-09-14 15:44:34.779232,u
33,2021-09-14 15:44:35.633287,t
34,2021-09-14 15:44:36.291070,y
35,2021-09-14 15:44:36.710614,u
36,2021-09-14 15:44:37.643502,t
37,2021-09-14 15:44:38.207799,y
38,2021-09-14 15:44:38.723082,u
39,2021-09-14 15:44:39.635439,t
40,2021-09-14 15:44:40.196159,y
41,2021-09-14 15:44:40.689246,u
42,2021-09-14 15:44:41.467776,t
43,2021-09-14 15:44:42.057221,y
44,2021-09-14 15:44:42.540095,u
45,2021-09-14 15:44:43.463646,t
46,2021-09-14 15:44:43.967981,y
47,2021-09-14 15:44:44.398760,u
48,2021-09-14 15:44:45.276474,t
49,2021-09-14 15:44:45.873861,y
50,2021-09-14 15:44:46.313911,u
51,2021-09-14 15:44:47.123317,t
52,2021-09-14 15:44:47.897108,y
53,2021-09-14 15:44:48.347131,u
