,time,status
0,2021-09-14 15:53:47.743963,t
1,2021-09-14 15:53:48.071708,y
2,2021-09-14 15:53:48.396556,u
3,2021-09-14 15:53:48.961565,t
4,2021-09-14 15:53:49.305946,y
5,2021-09-14 15:53:49.684793,u
6,2021-09-14 15:53:50.413342,t
7,2021-09-14 15:53:50.802851,y
8,2021-09-14 15:53:51.223213,u
9,2021-09-14 15:53:51.959614,t
10,2021-09-14 15:53:52.365577,y
11,2021-09-14 15:53:52.824674,u
12,2021-09-14 15:53:53.613823,t
13,2021-09-14 15:53:54.083669,y
14,2021-09-14 15:53:54.557919,u
15,2021-09-14 15:53:55.411414,t
16,2021-09-14 15:53:55.816566,y
17,2021-09-14 15:53:56.313975,u
18,2021-09-14 15:53:57.128042,t
19,2021-09-14 15:53:57.623739,y
20,2021-09-14 15:53:57.995935,u
21,2021-09-14 15:53:58.821389,t
22,2021-09-14 15:53:59.284828,y
23,2021-09-14 15:53:59.784340,u
24,2021-09-14 15:54:00.553474,t
25,2021-09-14 15:54:01.073133,y
26,2021-09-14 15:54:01.501100,u
27,2021-09-14 15:54:02.300033,t
28,2021-09-14 15:54:02.761822,y
29,2021-09-14 15:54:03.148577,u
30,2021-09-14 15:54:04.066950,t
31,2021-09-14 15:54:04.517366,y
32,2021-09-14 15:54:04.887019,u
33,2021-09-14 15:54:05.679650,t
34,2021-09-14 15:54:06.159944,y
35,2021-09-14 15:54:06.564178,u
36,2021-09-14 15:54:07.366389,t
37,2021-09-14 15:54:07.916312,y
38,2021-09-14 15:54:08.435813,u
39,2021-09-14 15:54:09.445032,t
40,2021-09-14 15:54:09.951110,y
41,2021-09-14 15:54:10.387968,u
42,2021-09-14 15:54:11.356983,t
43,2021-09-14 15:54:11.754522,y
44,2021-09-14 15:54:12.230182,u
45,2021-09-14 15:54:13.079880,t
46,2021-09-14 15:54:13.518430,y
47,2021-09-14 15:54:13.944735,u
48,2021-09-14 15:54:14.851209,t
49,2021-09-14 15:54:15.270492,y
50,2021-09-14 15:54:15.678656,u
51,2021-09-14 15:54:16.547224,t
52,2021-09-14 15:54:17.037715,y
53,2021-09-14 15:54:17.486908,u
