,time,status
0,2021-09-14 15:31:54.886280,t
1,2021-09-14 15:31:55.371779,y
2,2021-09-14 15:31:55.771964,u
3,2021-09-14 15:31:57.405476,t
4,2021-09-14 15:31:57.912309,y
5,2021-09-14 15:31:58.699164,u
6,2021-09-14 15:31:59.437474,t
7,2021-09-14 15:31:59.840471,y
8,2021-09-14 15:32:00.714504,u
9,2021-09-14 15:32:01.482759,t
10,2021-09-14 15:32:01.995492,y
11,2021-09-14 15:32:02.769240,u
12,2021-09-14 15:32:03.693590,t
13,2021-09-14 15:32:04.272885,y
14,2021-09-14 15:32:04.979291,u
15,2021-09-14 15:32:06.193527,t
16,2021-09-14 15:32:06.624935,y
17,2021-09-14 15:32:07.497205,u
18,2021-09-14 15:32:08.468431,t
19,2021-09-14 15:32:08.913049,y
20,2021-09-14 15:32:09.523793,u
21,2021-09-14 15:32:10.516364,t
22,2021-09-14 15:32:11.097036,y
23,2021-09-14 15:32:11.664211,u
24,2021-09-14 15:32:12.627254,t
25,2021-09-14 15:32:13.346927,y
26,2021-09-14 15:32:13.965739,u
27,2021-09-14 15:32:15.073471,t
28,2021-09-14 15:32:15.581595,y
29,2021-09-14 15:32:16.042046,u
30,2021-09-14 15:32:17.039061,t
31,2021-09-14 15:32:17.889972,y
32,2021-09-14 15:32:18.955862,u
33,2021-09-14 15:32:19.807773,t
34,2021-09-14 15:32:20.239560,y
35,2021-09-14 15:32:20.783931,u
36,2021-09-14 15:32:21.842972,t
37,2021-09-14 15:32:22.370868,y
38,2021-09-14 15:32:22.910355,u
39,2021-09-14 15:32:23.985260,t
40,2021-09-14 15:32:24.481436,y
41,2021-09-14 15:32:25.265786,u
42,2021-09-14 15:32:26.259884,t
43,2021-09-14 15:32:26.770961,y
44,2021-09-14 15:32:27.447371,u
45,2021-09-14 15:32:28.418355,t
46,2021-09-14 15:32:28.970082,y
47,2021-09-14 15:32:29.471295,u
48,2021-09-14 15:32:30.465821,t
49,2021-09-14 15:32:31.023947,y
50,2021-09-14 15:32:31.603449,u
51,2021-09-14 15:32:32.661686,t
52,2021-09-14 15:32:33.198192,y
53,2021-09-14 15:32:33.746946,u
