,time,status
0,2021-09-14 15:30:56.840475,t
1,2021-09-14 15:30:57.348896,y
2,2021-09-14 15:30:57.728506,u
3,2021-09-14 15:30:58.551754,t
4,2021-09-14 15:30:58.959085,y
5,2021-09-14 15:30:59.392922,u
6,2021-09-14 15:31:00.618778,t
7,2021-09-14 15:31:01.217331,y
8,2021-09-14 15:31:01.906649,u
9,2021-09-14 15:31:02.949576,t
10,2021-09-14 15:31:03.348121,y
11,2021-09-14 15:31:03.773067,u
12,2021-09-14 15:31:05.050973,t
13,2021-09-14 15:31:05.490665,y
14,2021-09-14 15:31:05.914369,u
15,2021-09-14 15:31:07.109943,t
16,2021-09-14 15:31:07.697447,y
17,2021-09-14 15:31:08.081055,u
18,2021-09-14 15:31:09.083778,t
19,2021-09-14 15:31:09.562663,y
20,2021-09-14 15:31:09.990215,u
21,2021-09-14 15:31:10.974495,t
22,2021-09-14 15:31:11.531131,y
23,2021-09-14 15:31:11.909697,u
24,2021-09-14 15:31:13.053119,t
25,2021-09-14 15:31:13.565800,y
26,2021-09-14 15:31:13.980898,u
27,2021-09-14 15:31:14.882270,t
28,2021-09-14 15:31:15.518451,y
29,2021-09-14 15:31:15.994332,u
30,2021-09-14 15:31:17.142410,t
31,2021-09-14 15:31:17.799133,y
32,2021-09-14 15:31:18.418632,u
33,2021-09-14 15:31:19.454461,t
34,2021-09-14 15:31:19.977019,y
35,2021-09-14 15:31:20.424792,u
36,2021-09-14 15:31:21.491608,t
37,2021-09-14 15:31:21.988519,y
38,2021-09-14 15:31:22.445987,u
39,2021-09-14 15:31:23.432790,t
40,2021-09-14 15:31:23.979867,y
41,2021-09-14 15:31:24.431445,u
42,2021-09-14 15:31:25.386874,t
43,2021-09-14 15:31:26.011116,y
44,2021-09-14 15:31:26.477043,u
45,2021-09-14 15:31:27.403660,t
46,2021-09-14 15:31:28.101184,y
47,2021-09-14 15:31:28.573378,u
48,2021-09-14 15:31:29.473745,t
49,2021-09-14 15:31:30.224066,y
50,2021-09-14 15:31:30.748149,u
51,2021-09-14 15:31:31.698103,t
52,2021-09-14 15:31:32.665925,y
53,2021-09-14 15:31:33.347165,u
