,time,status
0,2021-09-14 15:42:26.671893,t
1,2021-09-14 15:42:27.189730,y
2,2021-09-14 15:42:31.942703,u
3,2021-09-14 15:42:32.446513,t
4,2021-09-14 15:42:33.225611,y
5,2021-09-14 15:42:34.153964,u
8,2021-09-14 15:42:36.274166,t
9,2021-09-14 15:42:36.759807,y
10,2021-09-14 15:42:37.235764,u
11,2021-09-14 15:42:38.036970,t
12,2021-09-14 15:42:38.583544,y
13,2021-09-14 15:42:39.120077,u
14,2021-09-14 15:42:40.068852,t
15,2021-09-14 15:42:40.531045,y
16,2021-09-14 15:42:41.054410,u
17,2021-09-14 15:42:42.021178,t
18,2021-09-14 15:42:42.485963,y
19,2021-09-14 15:42:43.029249,u
20,2021-09-14 15:42:43.897850,t
21,2021-09-14 15:42:44.377088,y
22,2021-09-14 15:42:44.851227,u
23,2021-09-14 15:42:45.721238,t
24,2021-09-14 15:42:46.140874,y
25,2021-09-14 15:42:46.654946,u
26,2021-09-14 15:42:47.462078,t
27,2021-09-14 15:42:47.923848,y
28,2021-09-14 15:42:48.486923,u
29,2021-09-14 15:42:49.480195,t
30,2021-09-14 15:42:49.923430,y
31,2021-09-14 15:42:50.442984,u
32,2021-09-14 15:42:51.362323,t
33,2021-09-14 15:42:51.841062,y
34,2021-09-14 15:42:52.350931,u
35,2021-09-14 15:42:53.258332,t
36,2021-09-14 15:42:53.753324,y
37,2021-09-14 15:42:54.196934,u
38,2021-09-14 15:42:55.110915,t
39,2021-09-14 15:42:55.542490,y
40,2021-09-14 15:42:56.035680,u
41,2021-09-14 15:42:56.889324,t
42,2021-09-14 15:42:57.327265,y
43,2021-09-14 15:42:57.842349,u
44,2021-09-14 15:42:58.740973,t
45,2021-09-14 15:42:59.125886,y
46,2021-09-14 15:42:59.653973,u
47,2021-09-14 15:43:00.534237,t
48,2021-09-14 15:43:01.036930,y
49,2021-09-14 15:43:01.537224,u
50,2021-09-14 15:43:02.412000,t
51,2021-09-14 15:43:02.897416,y
52,2021-09-14 15:43:03.348299,u
