,time,status
0,2021-09-14 15:52:19.994499,t
1,2021-09-14 15:52:20.428340,y
2,2021-09-14 15:52:20.802309,u
3,2021-09-14 15:52:21.431514,t
4,2021-09-14 15:52:21.826116,y
5,2021-09-14 15:52:22.235578,u
6,2021-09-14 15:52:22.939563,t
7,2021-09-14 15:52:23.308914,y
8,2021-09-14 15:52:23.758677,u
9,2021-09-14 15:52:24.511842,t
10,2021-09-14 15:52:24.995469,y
11,2021-09-14 15:52:25.515277,u
12,2021-09-14 15:52:26.415714,t
13,2021-09-14 15:52:26.798595,y
14,2021-09-14 15:52:27.198724,u
15,2021-09-14 15:52:27.959988,t
16,2021-09-14 15:52:28.346029,y
17,2021-09-14 15:52:28.766860,u
18,2021-09-14 15:52:29.574547,t
19,2021-09-14 15:52:29.948137,y
20,2021-09-14 15:52:30.353455,u
21,2021-09-14 15:52:31.121717,t
22,2021-09-14 15:52:31.492544,y
23,2021-09-14 15:52:31.925584,u
24,2021-09-14 15:52:32.612430,t
25,2021-09-14 15:52:33.003754,y
26,2021-09-14 15:52:33.398539,u
27,2021-09-14 15:52:34.186777,t
28,2021-09-14 15:52:34.646251,y
29,2021-09-14 15:52:35.041950,u
30,2021-09-14 15:52:35.789972,t
31,2021-09-14 15:52:36.159537,y
32,2021-09-14 15:52:36.515294,u
33,2021-09-14 15:52:37.282591,t
34,2021-09-14 15:52:37.681463,y
35,2021-09-14 15:52:38.021153,u
36,2021-09-14 15:52:38.821790,t
37,2021-09-14 15:52:39.238550,y
38,2021-09-14 15:52:39.608723,u
39,2021-09-14 15:52:40.398431,t
40,2021-09-14 15:52:40.771854,y
41,2021-09-14 15:52:41.151169,u
42,2021-09-14 15:52:41.930166,t
43,2021-09-14 15:52:42.289469,y
44,2021-09-14 15:52:42.675622,u
45,2021-09-14 15:52:43.463796,t
46,2021-09-14 15:52:43.838387,y
47,2021-09-14 15:52:44.211594,u
48,2021-09-14 15:52:45.092232,t
49,2021-09-14 15:52:45.444237,y
50,2021-09-14 15:52:45.808920,u
51,2021-09-14 15:52:46.443218,t
52,2021-09-14 15:52:46.806659,y
53,2021-09-14 15:52:47.152798,u
