,time,status
0,2021-09-14 15:33:47.356842,t
1,2021-09-14 15:33:47.931510,y
2,2021-09-14 15:33:48.820759,u
3,2021-09-14 15:33:49.810395,t
4,2021-09-14 15:33:50.318695,y
5,2021-09-14 15:33:51.180288,u
6,2021-09-14 15:33:52.430697,t
7,2021-09-14 15:33:53.026671,y
8,2021-09-14 15:33:53.859631,u
9,2021-09-14 15:33:55.280262,t
10,2021-09-14 15:33:55.844602,y
11,2021-09-14 15:33:57.226675,u
12,2021-09-14 15:33:58.352975,t
13,2021-09-14 15:33:58.968436,y
14,2021-09-14 15:34:00.377091,u
15,2021-09-14 15:34:01.136663,t
16,2021-09-14 15:34:01.909406,y
17,2021-09-14 15:34:03.162478,u
18,2021-09-14 15:34:04.291849,t
19,2021-09-14 15:34:04.804167,y
20,2021-09-14 15:34:06.493509,u
21,2021-09-14 15:34:07.147469,t
22,2021-09-14 15:34:08.005141,y
23,2021-09-14 15:34:09.328298,u
24,2021-09-14 15:34:10.180990,t
25,2021-09-14 15:34:10.757726,y
26,2021-09-14 15:34:12.115041,u
27,2021-09-14 15:34:12.996024,t
28,2021-09-14 15:34:13.525203,y
29,2021-09-14 15:34:15.182033,u
30,2021-09-14 15:34:16.440143,t
31,2021-09-14 15:34:16.824649,y
32,2021-09-14 15:34:17.979078,u
33,2021-09-14 15:34:19.091118,t
34,2021-09-14 15:34:19.510815,y
35,2021-09-14 15:34:20.857860,u
36,2021-09-14 15:34:22.743492,t
37,2021-09-14 15:34:23.268591,y
38,2021-09-14 15:34:24.304544,u
39,2021-09-14 15:34:25.325399,t
40,2021-09-14 15:34:25.766821,y
41,2021-09-14 15:34:26.902887,u
42,2021-09-14 15:34:27.768176,t
43,2021-09-14 15:34:28.183399,y
44,2021-09-14 15:34:29.267030,u
45,2021-09-14 15:34:29.980388,t
46,2021-09-14 15:34:30.486709,y
47,2021-09-14 15:34:31.549126,u
48,2021-09-14 15:34:32.323311,t
49,2021-09-14 15:34:32.881717,y
50,2021-09-14 15:34:34.144511,u
51,2021-09-14 15:34:35.154149,t
52,2021-09-14 15:34:35.606840,y
53,2021-09-14 15:34:36.627870,u
54,2021-09-14 15:34:37.510773,t
55,2021-09-14 15:34:38.275447,y
56,2021-09-14 15:34:39.149328,u
