,time,status
0,2021-09-14 15:54:31.735378,t
1,2021-09-14 15:54:32.178959,y
2,2021-09-14 15:54:32.733792,u
3,2021-09-14 15:54:33.626586,t
4,2021-09-14 15:54:34.056404,y
5,2021-09-14 15:54:34.555599,u
6,2021-09-14 15:54:35.609016,t
7,2021-09-14 15:54:36.066582,y
8,2021-09-14 15:54:36.471991,u
9,2021-09-14 15:54:37.335446,t
10,2021-09-14 15:54:37.725219,y
11,2021-09-14 15:54:38.210501,u
12,2021-09-14 15:54:39.117326,t
13,2021-09-14 15:54:39.699408,y
14,2021-09-14 15:54:40.277000,u
15,2021-09-14 15:54:41.255253,t
16,2021-09-14 15:54:41.760085,y
17,2021-09-14 15:54:42.223835,u
18,2021-09-14 15:54:43.150825,t
19,2021-09-14 15:54:43.730795,y
20,2021-09-14 15:54:44.254528,u
21,2021-09-14 15:54:45.148457,t
22,2021-09-14 15:54:45.622063,y
23,2021-09-14 15:54:46.101233,u
24,2021-09-14 15:54:46.970577,t
25,2021-09-14 15:54:47.436658,y
26,2021-09-14 15:54:47.888048,u
27,2021-09-14 15:54:48.826996,t
28,2021-09-14 15:54:49.393853,y
29,2021-09-14 15:54:49.808037,u
30,2021-09-14 15:54:50.685752,t
31,2021-09-14 15:54:51.317776,y
32,2021-09-14 15:54:51.896480,u
33,2021-09-14 15:54:52.896613,t
34,2021-09-14 15:54:53.377295,y
35,2021-09-14 15:54:53.858620,u
36,2021-09-14 15:54:54.797751,t
37,2021-09-14 15:54:55.346282,y
38,2021-09-14 15:54:55.810163,u
39,2021-09-14 15:54:56.809286,t
40,2021-09-14 15:54:57.298176,y
41,2021-09-14 15:54:57.773540,u
42,2021-09-14 15:54:58.698947,t
43,2021-09-14 15:54:59.138523,y
44,2021-09-14 15:54:59.569451,u
45,2021-09-14 15:55:00.368053,t
46,2021-09-14 15:55:00.803266,y
47,2021-09-14 15:55:01.245047,u
48,2021-09-14 15:55:02.106564,t
49,2021-09-14 15:55:02.609782,y
50,2021-09-14 15:55:03.093920,u
