,time,status
0,2021-09-14 15:46:02.304706,t
1,2021-09-14 15:46:02.904453,y
2,2021-09-14 15:46:03.482753,u
3,2021-09-14 15:46:04.465237,t
4,2021-09-14 15:46:05.020093,y
5,2021-09-14 15:46:05.524500,u
6,2021-09-14 15:46:06.512724,t
7,2021-09-14 15:46:06.941592,y
8,2021-09-14 15:46:07.462105,u
9,2021-09-14 15:46:08.369070,t
10,2021-09-14 15:46:08.823496,y
11,2021-09-14 15:46:09.404642,u
12,2021-09-14 15:46:10.321864,t
13,2021-09-14 15:46:10.820370,y
14,2021-09-14 15:46:11.249799,u
15,2021-09-14 15:46:12.152978,t
16,2021-09-14 15:46:12.543857,y
17,2021-09-14 15:46:13.003108,u
18,2021-09-14 15:46:14.021337,t
19,2021-09-14 15:46:14.559747,y
20,2021-09-14 15:46:15.000612,u
21,2021-09-14 15:46:15.878797,t
22,2021-09-14 15:46:16.335465,y
23,2021-09-14 15:46:16.746114,u
24,2021-09-14 15:46:17.578663,t
25,2021-09-14 15:46:18.139001,y
26,2021-09-14 15:46:18.568597,u
27,2021-09-14 15:46:19.536381,t
28,2021-09-14 15:46:20.105855,y
29,2021-09-14 15:46:20.515019,u
30,2021-09-14 15:46:21.342665,t
31,2021-09-14 15:46:21.997573,y
32,2021-09-14 15:46:22.476403,u
33,2021-09-14 15:46:23.355258,t
34,2021-09-14 15:46:23.943843,y
35,2021-09-14 15:46:24.348063,u
36,2021-09-14 15:46:25.178660,t
37,2021-09-14 15:46:25.725494,y
38,2021-09-14 15:46:26.131624,u
39,2021-09-14 15:46:27.094473,t
40,2021-09-14 15:46:27.622580,y
41,2021-09-14 15:46:28.026834,u
42,2021-09-14 15:46:28.985468,t
43,2021-09-14 15:46:29.499444,y
44,2021-09-14 15:46:29.870543,u
45,2021-09-14 15:46:30.817368,t
46,2021-09-14 15:46:31.291802,y
47,2021-09-14 15:46:31.706306,u
48,2021-09-14 15:46:32.665909,t
49,2021-09-14 15:46:33.214072,y
50,2021-09-14 15:46:33.653596,u
51,2021-09-14 15:46:34.471349,t
52,2021-09-14 15:46:35.030264,y
53,2021-09-14 15:46:35.458754,u
