,time,status
0,2021-09-14 15:57:16.160330,t
1,2021-09-14 15:57:16.490224,y
2,2021-09-14 15:57:16.874010,u
3,2021-09-14 15:57:17.597887,t
4,2021-09-14 15:57:17.956878,y
5,2021-09-14 15:57:18.351722,u
6,2021-09-14 15:57:19.179913,t
7,2021-09-14 15:57:19.464188,y
8,2021-09-14 15:57:19.814223,u
9,2021-09-14 15:57:20.728183,t
10,2021-09-14 15:57:21.111657,y
11,2021-09-14 15:57:21.542293,u
12,2021-09-14 15:57:22.520731,t
13,2021-09-14 15:57:22.955681,y
14,2021-09-14 15:57:23.457572,u
15,2021-09-14 15:57:24.317521,t
16,2021-09-14 15:57:24.750327,y
17,2021-09-14 15:57:25.150040,u
18,2021-09-14 15:57:26.068530,t
19,2021-09-14 15:57:26.468043,y
20,2021-09-14 15:57:26.934962,u
21,2021-09-14 15:57:27.901804,t
22,2021-09-14 15:57:28.351323,y
23,2021-09-14 15:57:28.762470,u
24,2021-09-14 15:57:29.633797,t
25,2021-09-14 15:57:30.126639,y
26,2021-09-14 15:57:30.545719,u
27,2021-09-14 15:57:31.489654,t
28,2021-09-14 15:57:31.946295,y
29,2021-09-14 15:57:32.368596,u
30,2021-09-14 15:57:33.235838,t
31,2021-09-14 15:57:33.688289,y
32,2021-09-14 15:57:34.041909,u
33,2021-09-14 15:57:34.978276,t
34,2021-09-14 15:57:35.547136,y
35,2021-09-14 15:57:35.896697,u
36,2021-09-14 15:57:36.919354,t
37,2021-09-14 15:57:37.389292,y
38,2021-09-14 15:57:37.798209,u
39,2021-09-14 15:57:38.807847,t
40,2021-09-14 15:57:39.260443,y
41,2021-09-14 15:57:39.633263,u
42,2021-09-14 15:57:40.603308,t
43,2021-09-14 15:57:40.962445,y
44,2021-09-14 15:57:41.352466,u
45,2021-09-14 15:57:42.280734,t
46,2021-09-14 15:57:42.789516,y
47,2021-09-14 15:57:43.120238,u
48,2021-09-14 15:57:44.169551,t
49,2021-09-14 15:57:44.721192,y
50,2021-09-14 15:57:45.125060,u
51,2021-09-14 15:57:46.363505,t
52,2021-09-14 15:57:46.762913,y
53,2021-09-14 15:57:47.195369,u
