,time,status
0,2021-09-14 16:56:48.035524,t
1,2021-09-14 16:56:48.225742,y
2,2021-09-14 16:56:48.421911,u
3,2021-09-14 16:56:49.045570,t
4,2021-09-14 16:56:49.397209,y
5,2021-09-14 16:56:49.639525,u
6,2021-09-14 16:56:50.300660,t
7,2021-09-14 16:56:50.811420,y
8,2021-09-14 16:56:51.050697,u
9,2021-09-14 16:56:51.964373,t
10,2021-09-14 16:56:52.357560,y
11,2021-09-14 16:56:52.600276,u
12,2021-09-14 16:56:53.779021,t
13,2021-09-14 16:56:54.055450,y
14,2021-09-14 16:56:54.284635,u
15,2021-09-14 16:56:55.202125,t
16,2021-09-14 16:56:55.518695,y
17,2021-09-14 16:56:55.726712,u
18,2021-09-14 16:56:56.599599,t
19,2021-09-14 16:56:56.931420,y
20,2021-09-14 16:56:57.150778,u
21,2021-09-14 16:56:58.149748,t
22,2021-09-14 16:56:58.395846,y
23,2021-09-14 16:56:58.616603,u
24,2021-09-14 16:56:59.452926,t
25,2021-09-14 16:56:59.894813,y
26,2021-09-14 16:57:00.123415,u
27,2021-09-14 16:57:00.996313,t
28,2021-09-14 16:57:01.372591,y
29,2021-09-14 16:57:01.561750,u
30,2021-09-14 16:57:02.558930,t
31,2021-09-14 16:57:03.021755,y
32,2021-09-14 16:57:03.281154,u
33,2021-09-14 16:57:03.936921,t
34,2021-09-14 16:57:04.592105,y
35,2021-09-14 16:57:04.962701,u
36,2021-09-14 16:57:06.007033,t
37,2021-09-14 16:57:06.430145,y
38,2021-09-14 16:57:06.710428,u
39,2021-09-14 16:57:07.568064,t
40,2021-09-14 16:57:07.924146,y
41,2021-09-14 16:57:08.217614,u
42,2021-09-14 16:57:09.251212,t
43,2021-09-14 16:57:09.612129,y
44,2021-09-14 16:57:09.900835,u
45,2021-09-14 16:57:10.822344,t
46,2021-09-14 16:57:11.217319,y
47,2021-09-14 16:57:11.436251,u
48,2021-09-14 16:57:12.207059,t
49,2021-09-14 16:57:12.845749,y
50,2021-09-14 16:57:13.060648,u
51,2021-09-14 16:57:14.397119,t
52,2021-09-14 16:57:14.692747,y
53,2021-09-14 16:57:14.926241,u
