,time,status
0,2021-09-14 17:13:42.640739,t
1,2021-09-14 17:13:42.927986,y
2,2021-09-14 17:13:43.200897,u
3,2021-09-14 17:13:43.636709,t
4,2021-09-14 17:13:43.912464,y
5,2021-09-14 17:13:44.169917,u
6,2021-09-14 17:13:44.540821,t
7,2021-09-14 17:13:44.897102,y
8,2021-09-14 17:13:45.153281,u
9,2021-09-14 17:13:45.537946,t
10,2021-09-14 17:13:45.939414,y
11,2021-09-14 17:13:46.204275,u
12,2021-09-14 17:13:46.676924,t
13,2021-09-14 17:13:46.955529,y
14,2021-09-14 17:13:47.210499,u
15,2021-09-14 17:13:47.676177,t
16,2021-09-14 17:13:48.045415,y
17,2021-09-14 17:13:48.300425,u
18,2021-09-14 17:13:48.899418,t
19,2021-09-14 17:13:49.239169,y
20,2021-09-14 17:13:49.478891,u
21,2021-09-14 17:13:50.029709,t
22,2021-09-14 17:13:50.284456,y
23,2021-09-14 17:13:50.535982,u
24,2021-09-14 17:13:51.071794,t
25,2021-09-14 17:13:51.329691,y
26,2021-09-14 17:13:51.566117,u
27,2021-09-14 17:13:52.064913,t
28,2021-09-14 17:13:52.288976,y
29,2021-09-14 17:13:52.515668,u
30,2021-09-14 17:13:52.933926,t
31,2021-09-14 17:13:53.213216,y
32,2021-09-14 17:13:53.447593,u
33,2021-09-14 17:13:54.136178,t
34,2021-09-14 17:13:54.305984,y
35,2021-09-14 17:13:54.534439,u
36,2021-09-14 17:13:55.059874,t
37,2021-09-14 17:13:55.320534,y
38,2021-09-14 17:13:55.553789,u
39,2021-09-14 17:13:55.993921,t
40,2021-09-14 17:13:56.243114,y
41,2021-09-14 17:13:56.507897,u
42,2021-09-14 17:13:56.927015,t
43,2021-09-14 17:13:57.210943,y
44,2021-09-14 17:13:57.456010,u
45,2021-09-14 17:13:58.118140,t
46,2021-09-14 17:13:58.512061,y
47,2021-09-14 17:13:58.743430,u
48,2021-09-14 17:13:59.335852,t
49,2021-09-14 17:13:59.632894,y
50,2021-09-14 17:13:59.897301,u
51,2021-09-14 17:14:00.610337,t
52,2021-09-14 17:14:00.794211,y
53,2021-09-14 17:14:01.044402,u
