,time,status
0,2021-09-14 17:10:12.168562,t
1,2021-09-14 17:10:12.411997,y
2,2021-09-14 17:10:12.668777,u
3,2021-09-14 17:10:13.053909,t
4,2021-09-14 17:10:13.317556,y
5,2021-09-14 17:10:13.596643,u
6,2021-09-14 17:10:14.109222,t
7,2021-09-14 17:10:14.404918,y
8,2021-09-14 17:10:14.719643,u
9,2021-09-14 17:10:15.368585,t
10,2021-09-14 17:10:15.966114,y
11,2021-09-14 17:10:16.307284,u
12,2021-09-14 17:10:16.939483,t
13,2021-09-14 17:10:17.403447,y
14,2021-09-14 17:10:17.669567,u
15,2021-09-14 17:10:18.279423,t
16,2021-09-14 17:10:18.658907,y
17,2021-09-14 17:10:18.940186,u
18,2021-09-14 17:10:19.529531,t
19,2021-09-14 17:10:19.840419,y
20,2021-09-14 17:10:20.092423,u
21,2021-09-14 17:10:20.621986,t
22,2021-09-14 17:10:20.865085,y
23,2021-09-14 17:10:21.107768,u
24,2021-09-14 17:10:21.557226,t
25,2021-09-14 17:10:21.845391,y
26,2021-09-14 17:10:22.112237,u
27,2021-09-14 17:10:22.603377,t
28,2021-09-14 17:10:22.889415,y
29,2021-09-14 17:10:23.155321,u
30,2021-09-14 17:10:23.590644,t
31,2021-09-14 17:10:23.899278,y
32,2021-09-14 17:10:24.170050,u
33,2021-09-14 17:10:24.708471,t
34,2021-09-14 17:10:25.062910,y
35,2021-09-14 17:10:25.304074,u
36,2021-09-14 17:10:25.846638,t
37,2021-09-14 17:10:26.174713,y
38,2021-09-14 17:10:26.441239,u
39,2021-09-14 17:10:26.919593,t
40,2021-09-14 17:10:27.249384,y
41,2021-09-14 17:10:27.526429,u
42,2021-09-14 17:10:28.081863,t
43,2021-09-14 17:10:28.391036,y
44,2021-09-14 17:10:28.638683,u
45,2021-09-14 17:10:29.142195,t
46,2021-09-14 17:10:29.476268,y
47,2021-09-14 17:10:29.739513,u
48,2021-09-14 17:10:30.287948,t
49,2021-09-14 17:10:30.606171,y
50,2021-09-14 17:10:30.844775,u
51,2021-09-14 17:10:31.437656,t
52,2021-09-14 17:10:31.767938,y
53,2021-09-14 17:10:32.047456,u
