,time,status
0,2021-09-14 16:54:41.637288,t
1,2021-09-14 16:54:41.910217,y
2,2021-09-14 16:54:42.136791,u
3,2021-09-14 16:54:42.647723,t
4,2021-09-14 16:54:42.967820,y
5,2021-09-14 16:54:43.239649,u
6,2021-09-14 16:54:43.848323,t
7,2021-09-14 16:54:44.088304,y
8,2021-09-14 16:54:44.335526,u
9,2021-09-14 16:54:44.821209,t
10,2021-09-14 16:54:45.082855,y
11,2021-09-14 16:54:45.344632,u
12,2021-09-14 16:54:45.830140,t
13,2021-09-14 16:54:46.095940,y
14,2021-09-14 16:54:46.329578,u
15,2021-09-14 16:54:46.813953,t
16,2021-09-14 16:54:47.133626,y
17,2021-09-14 16:54:47.372864,u
18,2021-09-14 16:54:47.922159,t
19,2021-09-14 16:54:48.289835,y
20,2021-09-14 16:54:48.516192,u
21,2021-09-14 16:54:49.065130,t
22,2021-09-14 16:54:49.405084,y
23,2021-09-14 16:54:49.656701,u
24,2021-09-14 16:54:50.183459,t
25,2021-09-14 16:54:50.575665,y
26,2021-09-14 16:54:50.787984,u
27,2021-09-14 16:54:51.344762,t
28,2021-09-14 16:54:51.746920,y
29,2021-09-14 16:54:52.016137,u
30,2021-09-14 16:54:52.564851,t
31,2021-09-14 16:54:52.982405,y
32,2021-09-14 16:54:53.240608,u
33,2021-09-14 16:54:53.828553,t
34,2021-09-14 16:54:54.155201,y
35,2021-09-14 16:54:54.411733,u
36,2021-09-14 16:54:54.871803,t
37,2021-09-14 16:54:55.131441,y
38,2021-09-14 16:54:55.359725,u
39,2021-09-14 16:54:55.909557,t
40,2021-09-14 16:54:56.207900,y
41,2021-09-14 16:54:56.460957,u
42,2021-09-14 16:54:56.934896,t
43,2021-09-14 16:54:57.210513,y
44,2021-09-14 16:54:57.427826,u
45,2021-09-14 16:54:58.088829,t
46,2021-09-14 16:54:58.341089,y
47,2021-09-14 16:54:58.597616,u
48,2021-09-14 16:54:59.159417,t
49,2021-09-14 16:54:59.512104,y
50,2021-09-14 16:54:59.783850,u
51,2021-09-14 16:55:00.327761,t
52,2021-09-14 16:55:00.739989,y
53,2021-09-14 16:55:01.005305,u
