,time,status
0,2021-09-14 17:04:23.856636,t
1,2021-09-14 17:04:24.105398,y
2,2021-09-14 17:04:24.420566,u
3,2021-09-14 17:04:25.007480,t
4,2021-09-14 17:04:25.304557,y
5,2021-09-14 17:04:25.584622,u
6,2021-09-14 17:04:26.110165,t
7,2021-09-14 17:04:26.416840,y
8,2021-09-14 17:04:26.687132,u
9,2021-09-14 17:04:27.171105,t
10,2021-09-14 17:04:27.631632,y
11,2021-09-14 17:04:27.935344,u
12,2021-09-14 17:04:28.544365,t
13,2021-09-14 17:04:28.966371,y
14,2021-09-14 17:04:29.243661,u
15,2021-09-14 17:04:29.745103,t
16,2021-09-14 17:04:30.116827,y
17,2021-09-14 17:04:30.417861,u
18,2021-09-14 17:04:30.929109,t
19,2021-09-14 17:04:31.254547,y
20,2021-09-14 17:04:31.544710,u
21,2021-09-14 17:04:32.258677,t
22,2021-09-14 17:04:32.584797,y
23,2021-09-14 17:04:32.832504,u
24,2021-09-14 17:04:33.553538,t
25,2021-09-14 17:04:33.814295,y
26,2021-09-14 17:04:34.059436,u
27,2021-09-14 17:04:34.589517,t
28,2021-09-14 17:04:34.817511,y
29,2021-09-14 17:04:35.078919,u
30,2021-09-14 17:04:35.732865,t
31,2021-09-14 17:04:35.998001,y
32,2021-09-14 17:04:36.287314,u
33,2021-09-14 17:04:36.848975,t
34,2021-09-14 17:04:37.176279,y
35,2021-09-14 17:04:37.459733,u
36,2021-09-14 17:04:37.937552,t
37,2021-09-14 17:04:38.214607,y
38,2021-09-14 17:04:38.497029,u
39,2021-09-14 17:04:38.935322,t
40,2021-09-14 17:04:39.200319,y
41,2021-09-14 17:04:39.440457,u
42,2021-09-14 17:04:39.936562,t
43,2021-09-14 17:04:40.181698,y
44,2021-09-14 17:04:40.452163,u
45,2021-09-14 17:04:40.904614,t
46,2021-09-14 17:04:41.199967,y
47,2021-09-14 17:04:41.459031,u
48,2021-09-14 17:04:41.998146,t
49,2021-09-14 17:04:42.223167,y
50,2021-09-14 17:04:42.472253,u
51,2021-09-14 17:04:43.038423,t
52,2021-09-14 17:04:43.339072,y
53,2021-09-14 17:04:43.614902,u
