,time,status
0,2021-09-14 17:03:49.935070,t
1,2021-09-14 17:03:50.212358,y
2,2021-09-14 17:03:50.454275,u
3,2021-09-14 17:03:50.821775,t
4,2021-09-14 17:03:51.123155,y
5,2021-09-14 17:03:51.394289,u
6,2021-09-14 17:03:51.876348,t
7,2021-09-14 17:03:52.167428,y
8,2021-09-14 17:03:52.444748,u
9,2021-09-14 17:03:52.877928,t
10,2021-09-14 17:03:53.355236,y
11,2021-09-14 17:03:53.620663,u
12,2021-09-14 17:03:54.135377,t
13,2021-09-14 17:03:54.658710,y
14,2021-09-14 17:03:54.899538,u
15,2021-09-14 17:03:55.429984,t
16,2021-09-14 17:03:55.862646,y
17,2021-09-14 17:03:56.138663,u
18,2021-09-14 17:03:56.722344,t
19,2021-09-14 17:03:57.131924,y
20,2021-09-14 17:03:57.396579,u
21,2021-09-14 17:03:57.915976,t
22,2021-09-14 17:03:58.300286,y
23,2021-09-14 17:03:58.580079,u
24,2021-09-14 17:03:59.051451,t
25,2021-09-14 17:03:59.440081,y
26,2021-09-14 17:03:59.708073,u
27,2021-09-14 17:04:00.287975,t
28,2021-09-14 17:04:00.835370,y
29,2021-09-14 17:04:01.108908,u
30,2021-09-14 17:04:01.802073,t
31,2021-09-14 17:04:02.196721,y
32,2021-09-14 17:04:02.466844,u
33,2021-09-14 17:04:03.064341,t
34,2021-09-14 17:04:03.421747,y
35,2021-09-14 17:04:03.669749,u
36,2021-09-14 17:04:04.325528,t
37,2021-09-14 17:04:04.653355,y
38,2021-09-14 17:04:04.926828,u
39,2021-09-14 17:04:05.449541,t
40,2021-09-14 17:04:05.792167,y
41,2021-09-14 17:04:06.033479,u
42,2021-09-14 17:04:06.594602,t
43,2021-09-14 17:04:06.994748,y
44,2021-09-14 17:04:07.232056,u
45,2021-09-14 17:04:07.744468,t
46,2021-09-14 17:04:08.123235,y
47,2021-09-14 17:04:08.397306,u
48,2021-09-14 17:04:08.957958,t
49,2021-09-14 17:04:09.417624,y
50,2021-09-14 17:04:09.664497,u
51,2021-09-14 17:04:10.274776,t
52,2021-09-14 17:04:10.706833,y
53,2021-09-14 17:04:10.959807,u
