,time,status
0,2021-09-14 16:53:22.172040,t
1,2021-09-14 16:53:22.488003,y
2,2021-09-14 16:53:22.831068,u
3,2021-09-14 16:53:23.608984,t
4,2021-09-14 16:53:23.961686,y
5,2021-09-14 16:53:24.260017,u
6,2021-09-14 16:53:25.164240,t
7,2021-09-14 16:53:25.521769,y
8,2021-09-14 16:53:25.842123,u
9,2021-09-14 16:53:26.759398,t
10,2021-09-14 16:53:27.069818,y
11,2021-09-14 16:53:27.370225,u
12,2021-09-14 16:53:28.292755,t
13,2021-09-14 16:53:28.595048,y
14,2021-09-14 16:53:28.906246,u
15,2021-09-14 16:53:29.668372,t
16,2021-09-14 16:53:29.990574,y
17,2021-09-14 16:53:30.281606,u
18,2021-09-14 16:53:31.052136,t
19,2021-09-14 16:53:31.370139,y
20,2021-09-14 16:53:31.641893,u
21,2021-09-14 16:53:32.358363,t
22,2021-09-14 16:53:32.653337,y
23,2021-09-14 16:53:32.970189,u
24,2021-09-14 16:53:33.708430,t
25,2021-09-14 16:53:34.038376,y
26,2021-09-14 16:53:34.322529,u
27,2021-09-14 16:53:35.156909,t
28,2021-09-14 16:53:35.534026,y
29,2021-09-14 16:53:35.795397,u
30,2021-09-14 16:53:36.572557,t
31,2021-09-14 16:53:37.073750,y
32,2021-09-14 16:53:37.339322,u
33,2021-09-14 16:53:37.969305,t
34,2021-09-14 16:53:38.555988,y
35,2021-09-14 16:53:38.844330,u
36,2021-09-14 16:53:39.552468,t
37,2021-09-14 16:53:40.040212,y
38,2021-09-14 16:53:40.313854,u
39,2021-09-14 16:53:40.992117,t
40,2021-09-14 16:53:41.478716,y
41,2021-09-14 16:53:41.794331,u
42,2021-09-14 16:53:42.504499,t
43,2021-09-14 16:53:42.920591,y
44,2021-09-14 16:53:43.209531,u
45,2021-09-14 16:53:43.946205,t
46,2021-09-14 16:53:44.462860,y
47,2021-09-14 16:53:44.739280,u
48,2021-09-14 16:53:45.447381,t
49,2021-09-14 16:53:45.803455,y
50,2021-09-14 16:53:46.097971,u
51,2021-09-14 16:53:46.879061,t
52,2021-09-14 16:53:47.205920,y
53,2021-09-14 16:53:47.572627,u
