,time,status
0,2021-09-14 17:05:24.808465,t
1,2021-09-14 17:05:25.040273,y
2,2021-09-14 17:05:25.318701,u
3,2021-09-14 17:05:25.896572,t
4,2021-09-14 17:05:26.370173,y
5,2021-09-14 17:05:26.652525,u
6,2021-09-14 17:05:27.175000,t
7,2021-09-14 17:05:27.476364,y
8,2021-09-14 17:05:27.729187,u
9,2021-09-14 17:05:28.538299,t
10,2021-09-14 17:05:29.006583,y
11,2021-09-14 17:05:29.274778,u
12,2021-09-14 17:05:29.863181,t
13,2021-09-14 17:05:30.327762,y
14,2021-09-14 17:05:30.606426,u
15,2021-09-14 17:05:31.246921,t
16,2021-09-14 17:05:31.570464,y
17,2021-09-14 17:05:31.852289,u
18,2021-09-14 17:05:32.635846,t
19,2021-09-14 17:05:32.888950,y
20,2021-09-14 17:05:33.161769,u
21,2021-09-14 17:05:34.094008,t
22,2021-09-14 17:05:34.516582,y
23,2021-09-14 17:05:34.925299,u
24,2021-09-14 17:05:35.728609,t
25,2021-09-14 17:05:36.108232,y
26,2021-09-14 17:05:36.468982,u
27,2021-09-14 17:05:37.072727,t
28,2021-09-14 17:05:37.420317,y
29,2021-09-14 17:05:37.705939,u
30,2021-09-14 17:05:38.319311,t
31,2021-09-14 17:05:38.668754,y
32,2021-09-14 17:05:38.948873,u
33,2021-09-14 17:05:39.816875,t
34,2021-09-14 17:05:40.176668,y
35,2021-09-14 17:05:40.463824,u
36,2021-09-14 17:05:41.148852,t
37,2021-09-14 17:05:41.544132,y
38,2021-09-14 17:05:41.818522,u
39,2021-09-14 17:05:42.438065,t
40,2021-09-14 17:05:42.846892,y
41,2021-09-14 17:05:43.124363,u
42,2021-09-14 17:05:43.838913,t
43,2021-09-14 17:05:44.324286,y
44,2021-09-14 17:05:44.593722,u
45,2021-09-14 17:05:45.191553,t
46,2021-09-14 17:05:45.620234,y
47,2021-09-14 17:05:45.914456,u
48,2021-09-14 17:05:46.719524,t
49,2021-09-14 17:05:47.179121,y
50,2021-09-14 17:05:47.457473,u
51,2021-09-14 17:05:48.137705,t
52,2021-09-14 17:05:48.554941,y
53,2021-09-14 17:05:48.939365,u
