,time,status
0,2021-09-14 16:55:57.558618,t
1,2021-09-14 16:55:57.856824,y
2,2021-09-14 16:55:58.100776,u
3,2021-09-14 16:55:58.612024,t
4,2021-09-14 16:55:58.891670,y
5,2021-09-14 16:55:59.172440,u
6,2021-09-14 16:55:59.803649,t
7,2021-09-14 16:56:00.134498,y
8,2021-09-14 16:56:00.361642,u
9,2021-09-14 16:56:01.192854,t
10,2021-09-14 16:56:01.502877,y
11,2021-09-14 16:56:01.718921,u
12,2021-09-14 16:56:02.590772,t
13,2021-09-14 16:56:02.881786,y
14,2021-09-14 16:56:03.130003,u
15,2021-09-14 16:56:03.973518,t
16,2021-09-14 16:56:04.349115,y
17,2021-09-14 16:56:04.560588,u
18,2021-09-14 16:56:05.264634,t
19,2021-09-14 16:56:05.781004,y
20,2021-09-14 16:56:06.013956,u
21,2021-09-14 16:56:06.673620,t
22,2021-09-14 16:56:07.113277,y
23,2021-09-14 16:56:07.323284,u
24,2021-09-14 16:56:08.074838,t
25,2021-09-14 16:56:08.513098,y
26,2021-09-14 16:56:08.711774,u
27,2021-09-14 16:56:09.422717,t
28,2021-09-14 16:56:09.756615,y
29,2021-09-14 16:56:09.959499,u
30,2021-09-14 16:56:10.842793,t
31,2021-09-14 16:56:11.305934,y
32,2021-09-14 16:56:11.497475,u
33,2021-09-14 16:56:12.123844,t
34,2021-09-14 16:56:12.579443,y
35,2021-09-14 16:56:12.792856,u
36,2021-09-14 16:56:13.477698,t
37,2021-09-14 16:56:13.982012,y
38,2021-09-14 16:56:14.212302,u
39,2021-09-14 16:56:14.845788,t
40,2021-09-14 16:56:15.387666,y
41,2021-09-14 16:56:15.603417,u
42,2021-09-14 16:56:16.329151,t
43,2021-09-14 16:56:16.831725,y
44,2021-09-14 16:56:17.031925,u
45,2021-09-14 16:56:17.697598,t
46,2021-09-14 16:56:18.209973,y
47,2021-09-14 16:56:18.445528,u
48,2021-09-14 16:56:19.103754,t
49,2021-09-14 16:56:19.566383,y
50,2021-09-14 16:56:19.795468,u
51,2021-09-14 16:56:20.493425,t
52,2021-09-14 16:56:20.975456,y
53,2021-09-14 16:56:21.219402,u
